Year protection applied,Where filed,Who,Tech field,Patent #,more date info,Title/summary in English,Sources and notes  (see Sources worksheet for details),Original language patent title (or closest available info),Supplementary to,related to aircraft?,date applied for,date granted,Global patent id,,,,,
1842,us,"Pennington, John H.; Baltimore, MD",Airplane, ?,1842/04/28,Steam kite,Short's DB; image: http://www.loc.gov/pictures/resource/cph.3a06649/; description (1850): http://books.google.com/books?id=sfYOAAAAYAAJ&vq=pennington&pg=PA90#v=snippet&q=pennington&f=false; nb Pennington may have also filed in London,"Steam-kite, or inclined plane, for navigating the air",,1,,,,,,,,
1844,us,"Muzzi, Musio; NYC, NY; b. Bologna, Italy",LTA; navigation,"3,799",1844/10/16,Flying machine,Short's DB; http://www.google.com/patents/US3799,Manner of directing the course of aerostats or balloons of various forms,,1,,,"B64B01/00 (20060101)
",,,,,
1849,us,"Smith, Henry J.
Princeton, NJ",, ,,Helicopter,Short's DB,Helicopter,,1,,,,,,,,
1850,us,"Bell, Hugh
London, England",LTA; propulsion;  brakes,"7,207",1850/03/26,Balloon and its appendages,Short's DB; http://www.google.com/patents/US0007207,Balloon and its appendages,,1,,,"A01H05/00 (20060101)
",,,,,
1852,us,"Porter, Rufus; NYC, NY; b. West Boxford, MA",, ,1852/08/14,Utility of aerial locomotion,"Short's DB; http://en.wikipedia.org/wiki/Rufus_Porter#Airship; http://invention.smithsonian.org/Resources/mind_repository_details.aspx?rep_id=377 and more; although Porter filed over a hundred patents and did design an airship as early as 1835, AND did attempt to open a NY– CA transit line (!!), it's not clear that he ever filed a patent for his airship; 1952 date given here probably refers to an exhibtion and/or two pamphlets he published in that year",Utility of aerial locomotion,,1,,,,,,,,
1854,us,"Brewer, John W.
Cincinnati, OH",LTA; mooring,"11,248",1854/07/11,"Arrangement for mooring &
managing balloons",Short's DB; http://www.google.com/patents/US11248,"Arrangement for mooring &
managing balloons",,1,,,A01H05/02 (20060101),,,,,
1856,us,"Lassie, Jean; Finsbury, London; b. Paris",, ,,Solution for propulsion,Short's DB; information very lacking; I suspect confusion with British patent 2164,Solution for propulsion,,1,,,,,,,,
1859,us,"Gage, James P.
New York, NY",LTA; navigation,"23,163",1859/03/08,Balloon,Short's DB; http://www.google.com/patents/US32378,Balloon,,1,,,,,,,,
1859,us,"Bright, Henry",, ,,Counter rotating helicopter,Short's DB; suspect confusion with British patent,Counter rotating helicopter,,1,,,,,,,,
1861,us,"Nelson, Mortimer
New York, NY",LTA; propulsion; navigation,"32,378",1861/05/21,Balloon or aerial car,Short's DB; http://www.google.com/patents/US32378,Balloon.,,1,1860/10/01,,,,,,,
1861,us,"Quinby, Watson F.
Stanton, DE",Airplane; helicopter,"33,797",1861/11/26,Apparatus for navigating the air,Short's DB; http://www.google.com/patents/US33797,Improved apparatus for navigating the air,,1,,,,,,,,
1862,us,"Crowell, Luther C.; Boston, MA; b.
West Dennis, MA",Airplane; helicopter,35437,1862/06/03,Improvement in aerial machines,Short's DB; http://www.google.com/patents/US35437,Improvement in aerial machines,,1,,,,,,,,
1863,us,"Shaw, Thomas L.
Omaha City, Nebraska Territory",LTA; car,"37,667",1863/02/10,Balloons,Short's DB; centers around car detachable from main balloon—an escape pod that could safely land in an emergency,Improvement in balloons,,1,,,,,,,,
1863,us,"Perley, Charles. New York, NY.",car; military; unmanned; cargo,"37,771",1863/02/24,Discharging explosive shells from balloons,PBS; explosives drop out after timer goes off,Improvement for discharging explosive shells from balloons,,1,,,,,,,,
1863,us,"Connell, James H.
Lexington, KY",LTA,"40,608",1863/11/17,Balloons,Short's DB; concerning tight connection of balloon to car,Improvement in balloons,,1,,,,,,,,
1864,us,"Andrews, Solomon
Perth Amboy, NJ",LTA,43449,1864/07/05,Aerostats,Short's DB; new machine called an 'Aeron' consisting of three cylindrical balloons,Improvement in aerostats,,1,,,,,,,,
1864,us,"Wright, A. G.
Santa Cruz, CA",LTA,"45,665",1864/12/27,Balloon,Short's DB; very similar to Connell's US40608,Improvement in balloons,,1,,,,,,,,
1865,us,"Just, Francis &
August Koellner
Buffalo, NY",LTA; propulsion; car; wings,"50,365",1865/10/10,Aerial car,Short's DB,Improvement in aerial cars,,1,,,,,,,,
1866,us,"Wootton, John
Buffalo, NY",parachute; propulsion; mooring; landing; takeoff,"54,992",1866/05/22,Flying-Machine,Short's DB,Flying-Machine,,1,,,,,,,,
1866,us,"Sykes, Chester W.
Suffield, CT",LTA; kite; marine,"57,996",1866/09/11,Marine balloon,"Short's DB; steered from water-bound vessel, propelled by balloon/kite in air (as well, perhaps, as sails)",Improvement in marine balloons,,1,,,,,,,,
1867,us,"Elston, J. A.
Elston Station, MO",LTA; wings,"67,739",1867/08/13,Aerial machine,Short's DB,Improved aerial machine,,1,,,,,,,,
1867,us,"Quinby, Watson F.
Wilmington, DE",wings; human-powered,"68,789",1867/09/10,Flying apparatus,"Short's DB; these are wings powered by a human who flaps them, Daedalus-style; nice illustrations!",Improved flying apparatus,,1,,,,,,,,
1868,us,"Stone, Zaphna
Kinsmans, OH",LTA; human-powered propulsion,"77,850",1868/05/12,Aerial navigator,Short's DB; balloon with human operator pumping oars for thrust,Improved aerial navigator,,1,,,,,,,,
1868,us,"Abbruzo, Onofrio
St.Margherita, Sicily, Italy",LTA; navigation; propulsion,"80,107",1868/07/21,Aerial car,Short's DB; contains descriptions of many balloon components including wings & cars (including multiple cars of size of crew requires it!)—main innovation seems to be rockets for propulsion,Improvement in aerial cars,,1,1867/09/14,,,,,,,
1869,us,"Morrow, William
San Francisco, CA",LTA; propulsion,"88,324",1869/03/30,Aerial car,Short's DB,Improvement in aerial cars,,1,,,,,,,,
1869,us,"Quinby, Watson F.
Wilmington, DE",Human-powered; wings,"95,513",1869/10/05,Flying-Machines,Short's DB,Improvement in flying-machines,,1,,,,,,,,
1869,us,"Clark, Samuel
New York, NY",kite; marine,"96,550",1869/11/09,Marine kite,Short's DB; kite to be flown from ship for purpose of communicating with lighthouses (& presumably others),Improvement in kites,,1,,,,,,,,
1869,us,"Marriott, Frederick
San Francisco, CA",airplane; propulsion; LTA,"97,100",1869/11/23,Aerial steam car,"Short's DB; primarily a steam-powered airplnae, with added LTA bubbles",Improvement in aerial steam cars,,1,,,,,,,,
1870,us,"Braun, Martin
Cape Vincent, NY",LTA; propulsion,"99,629",1870/02/08,Aerial ship,Short's DB,Improvement in aerial ships,,1,,,,,,,,
1870,us,"Keith, A. P.
Easton, MA",LTA; navigation,"100,415",1870/03/01,Aerial cars,Short's DB,Improvement in aerial cars,,1,1869/09/21,,,,,,,
1870,us,"Oakes, Edward
Richmond, IN",LTA; navigation; propulsion,"106,862",1870/08/30,Aerial car,Short's DB,Improvement in aerial cars,,1,,,,,,,,
1872,us,"Forbes, Isaac W.
La Porte, IN",helicopter; landing,"129,401",1872/07/16,Aerial car,Short's DB,Improvement in aerial cars,,1,'1869/08/27,,,,,,,
1872,us,"Haenlein. Paul
Mainz, Germany",LTA; propulsion,"130,915",1872/08/27,Balloon locomotives,"Short's DB; engine powered by gas from the balloon, the use of which is compensated for by evaporating engine coolant (as well as discharged ballast)",Improvement in balloon-locomotives,,1,,,,,,,,
1872,us,"Quinby, Watson F.
Wilmington, DE",wings; human-powered,"132,022",1872/10/08,Flying apparatus,Short's DB,Improvement in flying apparatus,,1,,,,,,,,
1872,us,"McDermott, Charles
Monticello, AR",Airplane,"133,046",1872/11/12,Apparatus for navigating the air,"Short's DB; calls for vertically organized set of vanes, which power source causes to 'feather' through the air",Improvement in apparatus for navigating the air,,1,1872/06/20,,,,,,,
1872,us,"Moy, Thomas &
Richard Edmund Shill
London & Mile End, England",Airplane,"133,381",1872/11/26,Apparatus for aerial navigation,"Short's DB; uses the word “aeroplane,”which here means a tilted plane used to generate lift for the aerial machine as a whole",Apparatus for aerial navigation,Br 3238 (1871),1,,,,,,,,
1873,us,"Green, Thomas
New York, NY",Human-powered,"141,785",1873/08/12,Apparatus for navigating the air,Short's DB,Improvement in apparatus for navigating the air,,1,1873/07/15,,,,,,,
1874,us,"Francis, Otto
Grand Rapids, MI",LTA; car,"147,252",1874/05/19,Apparatus for navigating the air,Short's DB; looks quite a bit like a sailboat,Improvement in apparatus for navigating the air,,1,1873/09/03,,,,,,,
1874,us,"Wainwright, Charles B.
Philadelphia, PA",LTA; navigation,"149,012",1874/03/24,Aerial steering and propelling apparatus,Short's DB,Improvement in aerial steering and propelling apparatus,,1,1874/03/09,,,,,,,
1874,us,"Hartness, James
Detroit, MI",LTA,"151,124",1874/05/19,Balloons,Short's DB; calls for multiple balloons enclosed in netting,Improvement in balloons,,1,1874/04/14,,,,,,,
1874,us,"McGlashan, Charles F
Truckee, CA",LTA,"152,145",1874/06/16,Improvement in guiding balloons,Short's DB; for balloons guided by a track or rail on the ground,Improvement in guiding balloons,,1,1874/04/15,,,,,,,
1874,us,"Rhone, Daniel L.
Wilkesbarre, PA",LTA; airplane,"152,414",1874/06/23,Aerial boats,Short's DB,Improvement in aerial boats,,1,1874/06/01,,,,,,,
1874,us,"Dyer, Micajah
Blairsville, GA",LTA; propulsion; wings,"154,654",1874/09/01,Apparatus for navigating the air,Short's DB,Improvement in apparatus for navigating the air,,1,1874/09/01,,,,,,,
1874,us,"Boswell, Lewis A.
Talladega, AL",Propulsion,"155,218",1874/09/22,Aerial propeller wheels,Short's DB,Improvement in aerial propeller-wheels,,1,1874/04/04,,,,,,,
1874,us,"LeBlanc, Felix
New York, NY",LTA; car,"156,359",1874/10/27,Aerial vessels,Short's DB,Improvement in aerial vessels,,1,1874/10/07,,,,,,,
1875,us,"Fernandez, Peter B.
San Francisco, CA",LTA,"161,772",1875/04/06,Aerial and marine gyrator,Short's DB; concerns arrangement of the whole vessel,Improvement in aerial and marine gyrators,,1,1875/02/02,,,,,,,
1875,us,"Schroeder, Frederick W. (& George W. Gail?)
Baltimore, MD",LTA; car; wings,"165,881",1875/07/20,Steerable air-ship,Short's DB,Improvement in steerable air-ships,,1,1875/07/01,,,,,,,
1875,us,"Hartness, James
Detroit, MI",LTA; car; marine,"168,486",1875/10/05,Car or boat attachment for balloons,"Short's DB; another 'escape pod' idea, according to which the 'car' attached to the balloon is made independently seaworthy",Improvement in car or boat attachment for balloons,,1,1875/03/06,,,,,,,
1875,us,"Schmidt, Friedrich E.
Hoboken, NJ",Glider; car,"168,788",1875/10/11,Aerial Vessel,Short's DB; sails,Improvement in aerial vessels,,1,1875/09/02,,,,,,,
1876,us,"Carl, Daniel H.
Greenwich, OH",LTA; navigation; propulsion,"175,662",1876/04/04,"Propelling &
steering balloons",Short's DB; uses umbrellas,"Improvement in propelling and
steering balloons",,1,1876/01/27,,,,,,,
1876,us,"Lamboley, Francois X
New York, NY",Human-powered; wings,"181,186",1876/08/15,Flying-machines,Short's DB; an ornithopter if there ever was one,Improvement in flying-machines,,1,'1876/07/19,,,,,,,
1876,us,"Ward, John B
San Francisco, CA",airplane; propulsion; landing; takeoff,"185,465",1876/12/19,Aerial machine,Short's DB; fans & inclined plane,Improvement in aerial machines,,1,1876/09/19,,,,,,,
1877,us,"Barnett, Frank
Keokuk, IA",kite; navigation,"190,730",1877/05/15,Flying-Machine,Short's DB,Improvement in flying-machines,,1,1877/03/12,,,,,,,
1877,us,"Beckley, Washington
Louisa, KY",LTA,"193,136",1877/07/17,Balloon,Short's DB,Improvement balloon,,1,1877/06/04,,,,,,,
1877,us,"Murrell, Melville M.
Panther Springs, TN",Human-powered; wings,"194,104",1877/08/14,Aerial navigators,Short's DB; wings flapped using pedals not arms,Improvement in aerial navigators,,1,1877/04/16,,,,,,,
1877,us,"Pennington, James J.
Henryville, TN",propulsion; LTA,"194,841",1877/09/04,Flying-machines,Short's DB; primarily a fan which sucks in air from the front and sends it out the back,Improvement in flying-machines,,1,1877/07/23,,,,,,,
1877,us,"Ward, John B.
San Francisco, CA",airplane; navigation,"195,860",1877/10/02,Aerial machines,Short's DB; great drawings; key addition is a gyroscopic wheel for stability; also describes tubes for airflow through the vessel,Improvement in aerial machines,US185465,1,1877/05/23,,,,,,,
1878,us,"Von Ehren, Fritz A. L.
New Orleans, LA",LTA; car; wings; takeoff; landing; marine,"199,334",1878/01/15,Aerial vessels,Short's DB,Improvement in aerial vessels,,1,1877/07/16,,,,,,,
1878,us,"Ritchel, Charles F.
Corry, PA",LTA; navigation; propulsion,"201,200",1878/03/12,Flying machine,Short's DB; steering wheel controls propellor for control over vertical & horizontal motion (potentially using a universal joint),Improvement in flying-machines,,1,1878/03/02,,,,,,,
1878,us,"Pearson, William F.
Houma, LA",LTA,"202,750",1878/04/23,Balloon,Short's DB; gas condenser allows operator to ascend and descend without wasting gas,Improvement in balloons,,1,1878/05/01,,,,,,,
1878,us,"Cowan, Richard William &
Charles Page
Montreal, Quebec, Canada",Propulsion,"204,296",1878/05/28,Aerial paddle-wheels,Short's DB; paddles,Improvement in aerial paddle-wheels,,1,1878/04/22,,,,,,,
1878,us,"Tracy, James
Waltham, MA",LTA,"205,319",1878/06/25,Balloon,Short's DB; use of vacuum to ascend and descend without wasting gas,Improvement in balloons,,1,1877/12/11,,,,,,,
1878,us,"Cameron, John F
New York, NY",LTA; cargo,"210,238",1878/11/23,Air ship,Short's DB,Improvement in air-ships,,1,1878/08/28,,,,,,,
1879,us,"Apraxine, Count Antoine
Paris, France (current); St Petersburg, Russia (home)",LTA,"213,603",1879/04/02,Aerial balloon,"Short's DB; calls for two (or more!) balloons, the lower one(s) ring-shaped to allow for a connection to the upper",Improvement in aerial balloon,,1,1878/06/28,,,,,,,
1879,us,"Badgley, Henry
Fairfax Court House, VA",,"214,546",1879/04/22,Aerial machine,Short's DB,Aerial machine,,1,',,,,,,,
1879,us,"Quinby, Watson F.
Wilmington, DE",control; airplane,"218,573",applied: 1879/01/16 ; granted: 1879/08/12,Aerial ships,"Short's DB ; google patents: http://www.google.de/patents?id=PFRYAAAAEBAJ&pg=PA1&dq=Quinby&hl=en&sa=X&ei=tHitT9uuK6bV0QH7zMiLDA&ved=0CE4Q6AEwCA#v=onepage&q=Quinby&f=false ;
U.S. classifications:   416/123 and 416/121",Aerial ships,,1,',,,,,,,
1879,us,"Greenough, John J.
Syracuse, NY",Navigation; ?,"220,473",1879/10/14,Aerobat,Short's DB; rudder with universal joint and “poiser” for sturdying wings or other element,Improvement in aerobats,,1,1879/09/16,,,,,,,
1880,us,"Blackman, Albert L.
Nashville, TN",LTA; car; propulsion; navigation,"224,510",1880/02/17,"Vessel &
machinery for aerial navigation","Short's DB; improvements to the overall structure of the vessel “presenting, preferably, the form of the grayling or salmon fishes”; quite the omnibus patent","Vessel &
machinery for aerial navigation",,1,1880/01/06,,,,,,,
1880,us,"Brearey, Frederick W.
Maidenstone Hill, Blackheath, Kent, England; 1/3 of patent assigned to John F. Mackenzie, Edinburgh, Scotland",glider; propulsion,"234,947",1880/11/30,Aerial Apparatus,"Short's DB; patent describes stingray-like glider propelled by wave motion of its fabric; Breary, early “dreamer of aerial dreams” http://books.google.com/books?id=6ODNAAAAMAAJ&vq=brearey&pg=PA9#v=onepage&q&f=false",Aerial Apparatus,Br. 2376 (1879),1,1880/01/23,,,,,,,
1880,us,"Sullivan, Charles A.
Starkville, MS",LTA; car; navigation,"235,040",1880/11/30,Flying machine,Short's DB; primarily concerns improvements to the balloon(s); also suggests wheels within the car; nice illustration,Flying-Machine,,1,1880/08/23,,,,,,,
1880,us,"Mackenzie, John Finlayson
Edinburgh, Scotland",LTA; car,"235,792",1880/12/21,Aerial navigation,Short's DB,Aerial navigation,,1,1880/10/13,,,,,,,
1880,us,"Sullivan, Charles A.
Starkville, MS",,Pamphlet,1880/11/30,RECHECK SHORT AV DB,Short's DB,RECHECK SHORT AV DB,,1,',,,,,,,
1880,us,"Edison, Thomas Alvin
Boston, MA",helicopter,Pamphlet,,Helicopter,Short's DB; Edison apparently began (unsuccessful) helicopter experiments in 1880; pamphlet not forthcoming,Helicopter,,1,',,,,,,,
1881,us,"Pearse, Edward A.
Downsend, near Bristol, England",LTA; landing,"236,619",1881/01/11,Machine for aerial navigation,Short's DB,Machine for aerial navigation,,1,1880/03/23,,,,,,,
1881,us,"Beeson, William
Dillon City, Montana Territory",glider,"245,768",1881/08/16,Flying ship,Short's DB,Flying ship,,1,1881/06/25,,,,,,,
1881,us,"De Jongh, Edward
Salem, OR",LTA; landing; navigation,"246,872",1881/09/13,"Aeronautic apparatus &
regulator","Short's DB; ornithopter, also includes gas preservation idea, controlled by a “regulator”","Aeronautic apparatus and
regulator",,1,1881/09/13,,,,,,,
1881,us,"Blackman, Albert L.
Nashville, TN; ¼ assigned to E.F. Falconnet, Davidson County, TN",LTA; car; cargo; propulsion,"250,417",1881/12/06,"Vessel for aerial navigation &
machinery for propelling the same","Short's DB; propulsion system based on giant 'screws'; planned cars getting more & sophisticated:“...cabins cut into compartments, comprising the machinery, enginge, and store rooms, coal-bunkers, gas-condensers, &c,””I want it distinctly understood that in the construction of my vessel I make my gas-bags, vessel's hull, ducks, ceilings, cabin-floor, and state-rooms fire-proof, and fit up, furnish, and provision my vessel as sea-going vessels are now provided with furniture, beds, bedding, &c.”; patent filed in March 1880, “renewed” in May 1881, & finally granted in December","Vessel for aerial navigation and
machinery for propelling the same",,1,1880/03/05,,,,,,,
1882,us,"Krueger, William G.
St Louis, MO",LTA; car; cargo,"252,955",1882/01/31,Air ship,Short's DB; diagram looks like po-mo architecture or at least a Buckminster Fuller joint,Air-Ship,,1,1882/01/05,,,,,,,
1882,us,"Fest, Charles P.
Philadelphia, PA",LTA; propulsion; navigation,"255,963",1882/04/04,Balloon,Short's DB,Balloon,,1,1881/10/10,,,,,,,
1882,us,"Peterson, Carl W.
San Francisco, CA",LTA; glider; navigation,"256,366",1882/04/11,Air ship,Short's DB; main novelty seems to be the addition of a sail (with attached rudder) to a balloon,Air-Ship,,1,1881/11/11,,,,,,,
1882,us,"Nisonger, James A
Goshen, IN",,"258,464",1882/05/23,Shifting-Rail for vehicles,Short's DB; rail for seats on a vehicle of any type,Shifting-Rail for vehicles,,1,1882/03/16,,,,,,,
1882,us,"Blackman, Albert L.
Nashville, TN",LTA; car; cargo; navigation,"259,464",1882/06/03,Vessel for Aerial navigation,Short's DB; describes a fully (metal-)enclosed vessel with hinged compartments—starting to look like modern enclosed machines; high pressure interior air for human comfort at high altitudes; buoyancy from large gas compartments,Vessel for Aerial navigation,"improves on Blackman's US224510, though this is not explicit",1,1881/07/13,,,,,,,
1882,us,"Myers, Charles F.
Washington, DC",wings; gizmo; military,"262,687",1882/08/15,Flying-Machine,Short's DB; fun/weaponizable little flying gizmos,Flying-Machine,,1,1881/10/25,,,,,,,
1882,us,"Fest, Charles F.
Philadelphia, PA",LTA,"263,397",1882/08/29,Air ship,Short's DB; buoyancy from heated gas,Air-Ship,,1,1882/06/26,,,,,,,
1882,us,"Downton, Robert L.
St Louis, MO",LTA; navigation; wings,"264,261",1882/09/12,Aerial ship,Short's DB; set of movable 'gas chambers' arranged around the center (also: wings),Aerial ship,,1,1882/04/07,,,,,,,
1883,us,"Ray, Joel
Philadelphia, PA",,"270,122",1883/06/02,Aerial vessel,Short's DB,Aerial vessel,,1,',,,,,,,
1883,us,"Falconnet, Eugene F.
Nashville, TN",,"270,939",1883/01/23,Aerial ship,Short's DB,Aerial ship,,1,',,,,,,,
1883,us,"Emsley, John William
Worcester, MA",,"276,012",1883/04/17,Balloon,Short's DB,Balloon,,1,',,,,,,,
1883,us,"de Souza, Jules Cezar Ribiero
Para, Brazil",,"280,914",1883/07/10,Apparatus for aerial navigation,Short's DB,Apparatus for aerial navigation,,1,',,,,,,,
1883,us,"Debayeux, Auguste
Paris, France",,"282,060",1883/07/31,Balloon or aerial machine,Short's DB,Balloon or aerial machine,,1,',,,,,,,
1883,us,"Koch, Gustav
Muniche, Bavaria, Germany",,"282,647",1883/08/07,Air ship,Short's DB,Air ship,,1,',,,,,,,
1884,us,"Davis, Kansas D.
Cole City, GA",,"291,990",1884/01/15,Balloon propeller,Short's DB,Balloon propeller,,1,',,,,,,,
1884,us,"Fest, Charles P.
Philadelphia, PA",,"295,157",1884/03/18,Air ship,Short's DB,Air ship,,1,',,,,,,,
1884,us,"Maxim, Hiram S
Paris, France",,"295,784",1884/03/25,Gas Engine,Short's DB,Gas Engine,,1,',,,,,,,
1884,us,"Wellner, George
Brünn, Austria-Hungary",,"308,719",1884/12/02,Wedged shaped air balloons,Short's DB,Wedged shaped air balloons,,1,',,,,,,,
1884,us,"Thayer, Russell
Philadelphia, PA",,"309,008",1884/12/09,Balloon or aerial ship,Short's DB,Balloon or aerial ship,,1,',,,,,,,
1884,us,"Boult, Alfred Julius",, ,,Flying House,Short's DB,Flying House,,1,',,,,,,,
1885,us,"Falconnet, Eugene F.
Nashville, TN",,"311,885",1885/02/10,Vessel for Aerial navigation,Short's DB,Vessel for Aerial navigation,,1,',,,,,,,
1885,us,"Falconnet, Eugene F.
Nashville, TN",,"311,886",1885/02/10,Vessel for Aerial navigation,Short's DB,Vessel for Aerial navigation,,1,',,,,,,,
1885,us,"Falconnet, Eugene F.
Nashville, TN",,"311,887",1885/02/10,Vessel for Aerial navigation,Short's DB,Vessel for Aerial navigation,,1,',,,,,,,
1885,us,"Falconnet, Eugene F.
Nashville, TN",,"311,888",1885/02/10,Vessel for aerial navigation,Short's DB,Vessel for aerial navigation,,1,',,,,,,,
1885,us,"Falconnet, Eugene F.
Nashville, TN",,"312,344",1885/02/10,Vessel for Aerial navigation,Short's DB,Vessel for Aerial navigation,,1,',,,,,,,
1885,us,"Myers, Carl E. &
Carlotta
Mohawk, NY",,"318,575",1885/05/26,Guiding Apparatus for balloons,Short's DB,Guiding Apparatus for balloons,,1,',,,,,,,
1885,us,"Spier, Anton
St Louis, MO",,"319,758",1885/06/09,Air ship,Short's DB,Air ship,,1,',,,,,,,
1885,us,"Stout, David
St Louis, MO",,"319,936",1885/06/09,Aerial ship,Short's DB,Aerial ship,,1,',,,,,,,
1885,us,"Brearey, Frederick W.
Blackheath, Kent, England",,"320,042",1885/06/15,Apparatus for effecting aerial navigation,Short's DB,Apparatus for effecting aerial navigation,,1,',,,,,,,
1885,us,"Foster, Joseph S.
Salem, MA",,"320,548",1885/06/23,Air-ship,Short's DB,Air-ship,,1,',,,,,,,
1885,us,"Owen, Richard George",, ,,Helicopter,Short's DB,Helicopter,,1,',,,,,,,
1886,us,"Hunnicutt, Hurgar
Malvern, AK",,"334,866",1886/01/26,Aerial ship,Short's DB,Aerial ship,,1,',,,,,,,
1886,us,"Beardsley, Levi A.
Dodge City, KS",,"336,984",1886/03/02,Ship for aerial navigation,Short's DB,Ship for aerial navigation,,1,',,,,,,,
1886,us,"Jongeward, Ringert
Harrison, Dakota Territory",,"338,173",1886/03/16,Aerial navigation,Short's DB,Aerial navigation,,1,',,,,,,,
1886,us,"Patterson, William
San Francisco, CA",,"340,610",1886/04/27,Steam air ship,Short's DB,Steam air ship,,1,',,,,,,,
1886,us,"Hamon, Augustin Henri
Boulogne-sur-Seine, France",,"350,303",1886/10/05,Dirigeable aerostat,Short's DB,Dirigeable aerostat,,1,',,,,,,,
1886,us,"Cole, Moses S.
Rivas, Nicaragua",,"352,298",1886/11/09,Aerial vessel,Short's DB,Aerial vessel,,1,',,,,,,,
1886,us,"Appling, Marby P.
Campbell, TX",,"353,193",1886/11/23,Air ship,Short's DB,Air ship,,1,',,,,,,,
1886,us,"Colby, Edward J.
Chigaco, IL",,"354,098",1886/12/14,Kite,Short's DB,Kite,,1,',,,,,,,
1886,us,"Hartung, Otto Ulrich
Leipsic, Saxony, Germany",,"354,413",1886/12/14,Balloon,Short's DB,Balloon,,1,',,,,,,,
1887,us,"Braun, Martin
Cape Vincent, NY",,"356,743",1887/02/01,Aerial ship,Short's DB,Aerial ship,,1,',,,,,,,
1887,us,"Neubrand, Joseph
Long Island City, NY",,"361,442",1887/04/19,Aerial vessel,Short's DB,Aerial vessel,,1,',,,,,,,
1887,us,"Wheeler, James M
Fish's Eddy, NY",,"361,475",1887/04/19,Air ship,Short's DB,Air ship,,1,',,,,,,,
1887,us,"Beeson, William
Dillon, Montana Territory",,"361,855",1887/08/26,Aerial navigation,Short's DB,Aerial navigation,,1,',,,,,,,
1887,us,"Campbell, Peter Carmont
Brooklyn, NY",,"362,605",1887/05/10,Air ship,Short's DB,Air ship,,1,',,,,,,,
1887,us,"Wulff, Charles Richard Edouard
Paris, France",,"363,037",1887/05/17,Means & Apparatus for propelling and guiding balloons,Short's DB,Means & Apparatus for propelling and guiding balloons,,1,',,,,,,,
1887,us,"Hutchinson, William Nelson
Wellesbournee, Devon, England",,"371,759",1887/10/18,Aerial vessel,Short's DB,Aerial vessel,,1,',,,,,,,
1887,us,"Morgan, Charles H.
Gunnison, CO",,"373,469",1887/11/22,Air ship,Short's DB,Air ship,,1,',,,,,,,
1887,us,"Haddan, Herbert John",, ,,Metal airship,Short's DB,Metal airship,,1,',,,,,,,
1888,us,"Beeson, William
Dillon, Montana Territory",glider; parachute,"376,937",1888/01/24,Flying-machine,Short's DB ; Lilienthal museum ; http://www.google.com/patents?id=XQtXAAAAEBAJ&zoom=4&pg=PA3#v=onepage&q&f=false,"Flying-machine ; mainsail; plate receiving air-pressure to ""take any desired diagonal course as controlled by the rudder""",,1,1887/09/02,1888/01/24,,,,,,
1888,us,"Gustafson, Wald
London, England",,"378,364",1888/02/21,Aerial Navigation,Short's DB,Aerial Navigation,,1,,,,,,,,
1888,us,"Bontems, Blaise
Paris, France",,"381,106",1888/04/17,Apparatus for aerial navigation,Short's DB,Apparatus for aerial navigation,,1,,,,,,,,
1888,us,"Johnston, Edward P
Decatur, AL",,"383,889",1888/06/05,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1888,us,"Burgess, Charles W. &
William F. Fleharty
Norwalk, OH",,"391,507",1888/10/23,Tail for kites,Short's DB,Tail for kites,,1,,,,,,,,
1888,us,"Smith, Henry J.",, ,,Airship,Short's DB,Airship,,1,,,,,,,,
1889,us,"Holmes, John P.
Oak Valley, KS",,"397,647",1889/02/12,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1889,us,"Spalding, Reuben Jasper
Rosita, CO",,"398,984",1889/03/05,Flying-machine (with feathers!),Short's DB,Flying-machine (with feathers!),,1,,,,,,,,
1889,us,"Künzel, Charles Aug
Philadelphia, PA",,"399,271",1889/03/12,Balloon,Short's DB,Balloon,,1,,,,,,,,
1889,us,"Rieckert, Herman A. J.
New York, NY",,"399,783",1889/03/19,Air ship,Short's DB,Air ship,,1,,,,,,,,
1889,us,"Borgfeldt, Nicholas H.
Brooklyn, NY",,"411,779",1889/10/01,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1889,us,"Thayer, David
Boston, MA",,"417,755",1889/12/24,Aerial apparatus,Short's DB,Aerial apparatus,,1,,,,,,,,
1889,us,"DeBausset, Dr A",,Pamphlet,1889,Aerial Navigation,Short's DB,Aerial Navigation,,1,,,,,,,,
1890,us,"Baldwin, Matthias H.
Memphis, TN",,"423,980",1890/03/25,Aerostat,Short's DB,Aerostat,,1,,,,,,,,
1890,us,"Pokorny, John J
New York NY",,"424,822",1890/04/01,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1890,us,"Bechtel, Charles E
Udall, KS",,"429,373",1890/06/03,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1890,us,"Hennig, Carl G E
Paterson, NJ",,"430,343",1890/06/17,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1890,us,"Cairncross, Stewart
Grafton, ND",,"432,860",1890/07/22,Aerial machine,Short's DB,Aerial machine,,1,,,,,,,,
1890,us,"Nahl, Perham W
San Francisco, CA",,"439,421",1890/10/28,Navigable Air-Ship,Short's DB,Navigable Air-Ship,,1,,,,,,,,
