Year protection applied,Where filed,Who,Tech field,Patent #,more date info,Title/summary in English,Sources and notes  (see Sources worksheet for details),Original language patent title (or closest available info),Supplementary to,related to aircraft?,date applied for,date granted,Global patent id,,,,,
1916,de,Junkers works,,,1916/12/23,unbraced hollow wing made of sheet metal,"http://www.profilm.de/insel/mieten/Luftfahrt4.php, 3 pages text, 2 pages sketch","Patentierung der unverspannten hohlen Tragfläche aus Metallblech, Schlüsselerfindung der Luftfahrt",,1,,,,,,,,
1918,de,"Lilienthal, G.",,,1918,?,Lilienthal museum,?,,1,,,,,,,,
1918,de,"Lilienthal, G.",,,1918,  ,Lilienthal museum,  ,,1,,,,,,,,
1918,de,"Lilienthal, G.",,,1918,  ,Lilienthal museum,  ,,1,,,,,,,,
1918,de,"Lilienthal, G.",,,1918,  ,Lilienthal museum,  ,,1,,,,,,,,
1918,de,Richter,,,1918/02/10,Staffelbauspiel,Lilienthal museum,Staffelbauspiel,,1,,,,,,,,
1918,de,Richter,,,1918/02/20,Glasperlen-Mosaikspiel,Lilienthal museum,Glasperlen-Mosaikspiel,,1,,,,,,,,
1919,de,"Lilienthal, G.",,,1919,?,Lilienthal museum,?,,1,,,,,,,,
1919,de,"Lilienthal, G.",,,1919,?,Lilienthal museum,?,,1,,,,,,,,
1919,de,"Lilienthal, G.",,,1919,  ,Lilienthal museum,  ,,1,,,,,,,,
1919,de,"Lilienthal, G.",,,1919,  ,Lilienthal museum,  ,,1,,,,,,,,
1919,de,Wanner,,,1919/11/18,Kite,Lilienthal museum,Kite,,1,,,,,,,,
1920,de,"Lilienthal, G.",,,1920/03/31,Wing aircraft with front thickening,Lilienthal museum,Tragfläche für Flugzeuge mit vorderer Verdickung,,1,,,,,,,,
1920,de,"Lilienthal, G.",,,1920/03/31,Wing aircraft with front thickening,Lilienthal museum,Tragfläche für Flugzeuge mit vorderer Verdickung,,1,,,,,,,,
1922,de,"Lilienthal, G.",,,1922/11/14,Airplane,Lilienthal museum,Flugzeug,,1,,,,,,,,
1922,de,"Lilienthal, G.",,,1922/11/14,Airplane,Lilienthal museum,Flugzeug,,1,,,,,,,,
1924,de,"Lilienthal, G.",,,1924,  ,Lilienthal museum,  ,,1,,,,,,,,
1925,de,Richter,,,JJJJ/MM/TT,Bauspielzeug,Lilienthal museum,Bauspielzeug,,1,,,,,,,,
1932,de,Richter,,,1932/02/04,Bauspiel mit zur Bildung von Zahnradkränzen benutzten Streifen aus Blech,Lilienthal museum,Bauspiel mit zur Bildung von Zahnradkränzen benutzten Streifen aus Blech,,1,,,,,,,,
1939,de,"Schmidt, Wi",,,'1939/06/07,"Dispositif pour la production, d'une force resutant de l'écoulement d'un fluide spécialement pour des avions.",Lilienthal museum,"Dispositif pour la production, d'une force resutant de l'écoulement d'un fluide spécialement pour des avions.",,1,,,,,,,,
1951,de,Wanner,,,1951/01/09,Kite,Lilienthal museum,Kite,,1,,,,,,,,
1951,de,Rogallo,,,1951/03/20,Flexible Kite,Lilienthal museum,Flexible Kite,,1,,,,,,,,
1960,de,"Schmidt, Wi",,,1960/05/20,Improvements in or relating to propulsion means for vehicles,Lilienthal museum,Improvements in or relating to propulsion means for vehicles,,1,,,,,,,,
1963,de,Dickenson,,,1963/10/08,Improved Gliding Apparatus,Lilienthal museum,Improved Gliding Apparatus,,1,,,,,,,,
1965,de,"Schmidt, Wi",,,1965/02/25,"Driving Arrangement For Land-, Water- and Aircraft",Lilienthal museum,"Driving Arrangement For Land-, Water- and Aircraft",,1,,,,,,,,
1965,de,"Schmidt, Wi",,,1965/11/02,"Driving Arrangement For Land-, Water- and Aircraft",Lilienthal museum,"Driving Arrangement For Land-, Water- and Aircraft",,1,,,,,,,,
1969,de,"Schmidt, Wi",,,1969/02/04,"Wellenantrieb für Luft-, Land- und Wasserfahrzeuge",Lilienthal museum,"Wellenantrieb für Luft-, Land- und Wasserfahrzeuge",,1,,,,,,,,
1972,de,Bennett,,,1972/07/11,Passenger Carrying Tow Kite,Lilienthal museum ; it's kite related but not in our time frame,Passenger Carrying Tow Kite ; Archiv-Nr.: P224248,,1,,,,,,,,
1973,de,"Schmidt, Wi",,,1973/02/05,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1974,de,"Schmidt, Wi",,,1974/05/02,Волновой движитель (Wellpropeller),Lilienthal museum,Волновой движитель (Wellpropeller),,1,,,,,,,,
1980,de,"Schmidt, Wi",,,1980/01/11,Wellpropeller mit elastischem Wellerblatt,Lilienthal museum,Wellpropeller mit elastischem Wellerblatt,,1,,,,,,,,
1983,de,Helling,,,1983/10/27,Schlagflügelflugzeug,Lilienthal museum,Schlagflügelflugzeug,,1,,,,,,,,
,de,Bousson,,,1900/01/05,"Flugapparat mit mechanisch betätigten, in senkrechten Reihen übereinander angeordneten Schlagflügeln",Lilienthal museum,"Flugapparat mit mechanisch betätigten, in senkrechten Reihen übereinander angeordneten Schlagflügeln",,1,,,,,,,,
,de,Bousson,,,1900/01/06,Vorrichtung zum freibeweglichen Aufhängen von Flugmaschinen an Luftballons,Lilienthal museum,Vorrichtung zum freibeweglichen Aufhängen von Flugmaschinen an Luftballons,,1,,,,,,,,
unknown?!,de,"Bellens, ""siehe Lentz"" (Neuilly-sur-Seine)",,204238,unk,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Bugkel,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Contai,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Cornu,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Desgeorge,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Freytag,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Goetjes,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,"Graf, A.",,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Haußner,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Hennebique,,,  ,Flugzeug mit seitlich symmetrisch angeordneten Höhen- und Gleichgewichtssteuern,Lilienthal museum,Flugzeug mit seitlich symmetrisch angeordneten Höhen- und Gleichgewichtssteuern,,1,,,,,,,,
,de,Hörbinger,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Kadlec,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Kaerting,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Lallemand,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,"Lilienthal, G.",,,  ,?,Lilienthal museum,?,,1,,,,,,,,
,de,"Lilienthal, G.",,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,"Lilienthal, G.",,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,"Lilienthal, G.",,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Luetsch,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Luftschiffges. Roze,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Marquardt,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Page,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Polack,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Ricaldoni,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Rogler,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Roheim,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Ruth,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Schilling,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Schlöszner,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Schrader,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Schulze,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Simko,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Somers,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,South,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Thomassin,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,Volmer,,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
,de,"Wright, W.",,,  ,  ,Lilienthal museum,  ,,1,,,,,,,,
1890,fr,Ader,Airplane,205155,1890,l'Eole,Gibbs-Smith,l'Eole,,1,,,,,,,,
1895,fr,Ponsomby,kite,247475,1895/05/17,Improvements to kites,4,Improvements to kites,,1,,,,,,,,
1895,fr,Klima,LTA,248162,1895/06/14,Floating rescue balloon,4,Floating rescue balloon,,1,,,,,,,,
1895,fr,Renard,Propulsion,248546,1895/05/17,"“Propulsor” with application to boats, to aerial navigation without balloons, and to steering balloons",4,"“Propulsor” with application to boats, to aerial navigation without balloons, and to steering balloons",,1,,,,,,,,
1895,fr,Guinet,Propulsion,248672,1895/07/08,“propulsor” with wings for steering balloons,4,“propulsor” with wings for steering balloons,,1,,,,,,,,
1895,fr,Steinmann,LTA,248838,1895/07/12,Dirigible,4,Dirigible,,1,,,,,,,,
1895,fr,Hanin,Airplane,249048,1895/07/22,Flying machine,4,Flying machine,,1,,,,,,,,
1895,fr,Baudin,control,249819,1895/08/23,System for steering for balloons or dirigibles,4,System for steering for balloons or dirigibles,,1,,,,,,,,
1895,fr,Wahl,instrument,250284,1895/09/14,Barometer,4,Barometer,,1,,,,,,,,
1895,fr,Rudinger,LTA; Kite,250436,1895/09/21,Balloon kite(?),4,Balloon kite(?),,1,,,,,,,,
1895,fr,Roesch,LTA,250483,1895/09/28,Dirigible,4,Dirigible,,1,,,,,,,,
1895,fr,Hermitte,Parachute,250539,1895/09/25,"Parachute, multiple and maneuverable",4,"Parachute, multiple and maneuverable",,1,,,,,,,,
1895,fr,Capazza,Rescue,250612,1895/09/28,Complete system for aerial rescue,4,Complete system for aerial rescue,,1,,,,,,,,
1895,fr,Steinicke,LTA,250673,1895/10/01,“Aerostat”,4,“Aerostat”,,1,,,,,,,,
1895,fr,Jaisohn,instrument,250762,1895/10/05,improved thermometer case,4,improved thermometer case,,1,,,,,,,,
1895,fr,Delaurier,Airplane,251661,1895/11/13,Aerial navigation design called “Delaurier Aircraft”,4,Aerial navigation design called “Delaurier Aircraft”,,1,,,,,,,,
1895,fr,Gisborne,instrument,252608,1895/12/19,to improve the directional force of a magnetic compass,5,to improve the directional force of a magnetic compass,,1,,,,,,,,
1895,fr,Yvetot,meteo,252825,1895/12/26,predicting low temperatures by the repulsive force of the moon,5,predicting low temperatures by the repulsive force of the moon,,1,,,,,,,,
1895,fr,Koechlin,meteo,252844,1895/12/30,Apparatus for checking the weather at different places on the earth,5,Apparatus for checking the weather at different places on the earth,,1,,,,,,,,
1896,fr,Pennington,Airplane,252919,1896/01/02,aircraft,5,aircraft,,1,,,,,,,,
1896,fr,Berger,LTA,253175,1896/01/16,Apparatus for directing balloons,5,Apparatus for directing balloons,,1,,,,,,,,
1896,fr,Hue,instrument,253293,1896/01/18,recording barometer,5,recording barometer,,1,,,,,,,,
1896,fr,Toth,Airplane,253705,1896/02/04,Flying machine,5,Flying machine,,1,,,,,,,,
1896,fr,Ludvig,Airplane,253831,1896/02/10,Flying machine,5,Flying machine,,1,,,,,,,,
1896,fr,Granieri,Airplane,254194,1896/02/26,"Maneuverable flying machine, useful to industry, to replace aerostats",5,"Maneuverable flying machine, useful to industry, to replace aerostats",,1,,,,,,,,
1896,fr,Filippi,Airplane,254222,1896/02/29,“Filippi Aircraft”,5,“Filippi Aircraft”,,1,,,,,,,,
1896,fr,Ticotel & Becourt,Airplane,254307,1896/02/27,Perfected flying machine,5,Perfected flying machine,,1,,,,,,,,
1896,fr,Herve,control,254507,1896/03/04,Steering system for turning or reversing,5,Steering system for turning or reversing,,1,,,,,,,,
1896,fr,Kosch,Propulsion,255717,1896/04/21,lift propeller for aircraft,5,lift propeller for aircraft,,1,,,,,,,,
1896,fr,Paraire & Belvalet,Engine,255840,1896/04/24,light hydrocarbon engine,5,light hydrocarbon engine,,1,,,,,,,,
1896,fr,Fischer,instrument,255978,1896/06/05,Temperature alert,5,Temperature alert,,1,,,,,,,,
1896,fr,Boileau,instrument,256405,1896/05/16,system for mounting recording cylinders in measuring instruments,5,system for mounting recording cylinders in measuring instruments,,1,,,,,,,,
1896,fr,Dhuette,balloons,257683,1896/06/30,Dirigible,5,Dirigible,,1,,,,,,,,
1896,fr,Diesel,??,257853,1896/07/06,Transmitting electric current to electric aircraft,5,Transmitting electric current to electric aircraft,,1,,,,,,,,
1896,fr,Hardy,instrument,258328,1896/07/24,"sonic direction-finder, air or water",5,"sonic direction-finder, air or water",,1,,,,,,,,
1896,fr,Eray,LTA,258837,1896/08/11,Dirigible,5,Dirigible,,1,,,,,,,,
1898,fr,Von Zeppelin,LTA,273723,1898/01/03,dirigible with multiple independent motors,L'Aerophile April-May 1898 p76,Système de ballon dirigeable à plusieurs moteurs de disposition indépendante,,1,,,,,,,,
1898,fr,Ligony,LTA,273857,1898/01/07,Dirigible airship,L'Aerophile April-May 1898 p76,"Ballon de forme spéciale dirigeable, dit Canot aérien",,1,,,,,,,,
1898,fr,de Wolff,Airplane,274056,1898/01/14,lifting apparatus and motor for aerial vehicles,L'Aerophile April-May 1898 p76,Appareil élévateur et moteur pour véhicules aériens,,1,,,,,,,,
1898,fr,Adams,Airplane,274058,1898/01/14,New flying system,L'Aerophile April-May 1898 p76,Nouveau système d'aviation,,1,,,,,,,,
1898,fr,Pajer,LTA,274316,1898/01/22,Dirigible,L'Aerophile April-May 1898 p76,Ballon dirigeable,,1,,,,,,,,
1898,fr,Hermite,instrument,274674,1898/02/03,improved portable barometer,L'Aerophile April-May 1898 p76,Baromètre agrandisseur portatif,,1,,,,,,,,
1898,fr,Léopold,instrument,274981,1898/02/12,improvements to electric signal transmission,L'Aerophile April-May 1898 p76,Perfectionnements apportés aux appareils pour la transmission électrique de signaux,,1,,,,,,,,
1898,fr,Alaux,Airplane,275401,1898/02/28,Navigable flying machine,L'Aerophile April-May 1898 p76,Appareil ayant pour but la navigation aérienne,,1,,,,,,,,
1898,fr,"Dusseque, [Jean]",LTA,275602,1898/03/09,Dirigible,L'Aerophile April-May 1898 p76,Ballon dirigeable système Jean Dussequé,,1,,,,,,,,
1898,fr,Mettrier,Propulsion,276035,1898/03/17,Aerial propulsion,L'Aerophile April-May 1898 p76,Propulseur aérien,,1,,,,,,,,
1898,fr,Cotessat,Propulsion,276134,1898/03/22,pneumatic propulsion for aircraft or watercraft,L'Aerophile April-May 1898 p76,Nouveau propulseur dit propulseur pneumatique pour la navigation aérienne et maritime,,1,,,,,,,,
1898,fr,Hien,instrument,276663,1898/04/05,Automatic stop-trigger for measuring or recording instruments,L'Aerophile April-May 1898 p76,Dispositif d'arrêt pour instruments de mesure ou d'astronomie à réglage automatique,,1,,,,,,,,
1898,fr,Molnar & Horbiger,Airplane,277157,1898/04/19,Flying machine,L'Aerophile April-May 1898 p76,Machine pour voler dans l'air,,1,,,,,,,,
1898,fr,Kourtcheninof,LTA,277456,1898/04/27,Balloon,L'Aerophile Sep-Oct 1898 p448,Appareil aérostatique,,1,,,,,,,,
1898,fr,Don Simoni,Airplane,277728,1898/05/07,Airplane,L'Aerophile Sep-Oct 1898 p448,Aéroplane,,1,,,,,,,,
1898,fr,Ader,Engine,278138,1898/05/21,"improvements to  lightweight motors for airplanes, dirigibles, boats and cars",L'Aerophile Sep-Oct 1898 p448,"Perfectionnements aux moteurs légers pour l'usage de l'aviation, l'aérostation dirigeable, la navigation et l'automobilisme",,1,,,,,,,,
1898,fr,Zarski,"LTA, Propulsion",278192,1898/05/23,New system for aerostat propulsion,L'Aerophile Sep-Oct 1898 p448,Nouveau dispositif pour la propulsion des aérostats,,1,,,,,,,,
1898,fr,Regnard,"airplane, propulsion",278452,1898/06/01,Lift propulsion for navigation by heavier-than-air craft,L'Aerophile Sep-Oct 1898 p448,Propulseur ascensionnel dénommé l'Aérien destiné à la navigation aérienne par le plus lourd que l'air,,1,,,,,,,,
1898,fr,Chevrey,"parachute, airplane",278541,1898/06/07,"“La Torpille” flying parachute, w/paddlewheels for lift and propellers for propulsion",L'Aerophile Sep-Oct 1898 p448,"L'aviateur parachute La Torpille, à roues ascensionnelles à palettes et hélices propulsives",,1,,,,,,,,
1898,fr,Boes,Propulsion,278552,1898/06/03,Propulsion for boats and balloons,L'Aerophile Sep-Oct 1898 p448,Système de propulsion des navires et des ballons,,1,,,,,,,,
1898,fr,Pieri,LTA,279514,1898/07/06,Dirigible,L'Aerophile Sep-Oct 1898 p448,Ballon dirigeable,,1,,,,,,,,
1898,fr,Hite,LTA,279712,1898/07/12,Balloon,L'Aerophile Sep-Oct 1898 p448,Perfectionnements dans les ballons,,1,,,,,,,,
1898,fr,Lochner,Airplane,280021,1898/07/25,Improvements to aerial vehicles,L'Aerophile Sep-Oct 1898 p448,Perfectionnements aux véhicules aériens,,1,,,,,,,,
1898,fr,Boussole,meteo,280484,1898/02/10,Auto-recorder,L'Aerophile Sep-Oct 1898 p448,Auto-enregistrice,,1,,,,,,,,
1898,fr,Laughlin,Propulsion,280582,1898/08/16,Improvements to “elevators” and propulsion for aerostats etc.,L'Aerophile Sep-Oct 1898 p448,"Perfectionnements aux appareils élévatoires et propulseurs pour aérostats, etc.",,1,,,,,,,,
1898,fr,Lange,Airplane,280593,1898/08/16,Steerable airship,L'Aerophile Sep-Oct 1898 p448,Bateau aérien dirigeable,,1,,,,,,,,
1898,fr,Kobylanski,Airplane,280698,1898/08/19,Steerable ship called the “Flying Yacht”,L'Aerophile Sep-Oct 1898 p448,"Navire aérien dirigeable, dit: Yacht volant",,1,,,,,,,,
1898,fr,Souchier,instrument,280741,1898/08/25,Leveling magnetic compass,L'Aerophile Sep-Oct 1898 p448,Boussole nivelatrice,,1,,,,,,,,
1898,fr,"Dupuis, [Gabriel]",LTA; navigation,281310,1898/09/12,Directional control of aircraft with heavier- and lighter-than-air elements and a device that pivots,L'Aerophile Jan. 1899 p11,"Direction des aérostats par la combinaison du plus lourd et du plus léger que l'air, au moyen d'un appareil independent tournant sur pivot, dénommé aéronef Gabriel Dupuis",,1,,,,,,,,
1898,fr,Heinitz Simpson,instrument,281425,1898/09/16,improving the maxima thermometer,L'Aerophile Jan. 1899 p11,Perfectionnements dans les themomètres à maxima,,1,,,,,,,,
1898,fr,Marfaing,instrument,281990,1898/10/08,Chronometer with display,L'Aerophile Jan. 1899 p11,"La chronométrie, nouveau moyen graphique de procéder pour tous indicateurs",,1,,,,,,,,
1898,fr,Bretton,meteo,282255,1898/10/15,recording instrument for meteorology,L'Aerophile Jan. 1899 p11,Nouveau système d'enregistreur pour appareils de métérologie,,1,,,,,,,,
1898,fr,Czarniakowski,"propulsion, control",282353,1898/10/22,Propeller for aerial navigation,L'Aerophile Jan. 1899 p11,Hélice pneumatique destinée à résoudre le problème de la navigation aérienne,,1,,,,,,,,
1898,fr,Gardner,LTA,283165,1898/11/04,Procedures for tethered ascensions,L'Aerophile Jan. 1899 p11,Perfectionnements aux procédés pour effectuer des ascensions aériennes captives,,1,,,,,,,,
1898,fr,Krahenbuhl,instrument,283981,1898/12/13,instrument read-out,L'Aerophile May 1899 p60,"Systeme d'indicateur applicable aux insruments servant à mesurer le temps, les distances ou des quantités quelconques",,1,,,,,,,,
1898,fr,Czarniakowski,LTA,284059,1898/12/15,Airships using centrifugal force and natural atmospheric pressure,L'Aerophile May 1899 p60,Aérostat dirigeable basé sur la pression atmosphérique naturelle déséquilibrée par l'emploi de la force centrifuge,,1,,,,,,,,
1898,fr,De Manresa,??,284142,1898/12/20,System of aerial navigation,L'Aerophile May 1899 p60,Nouveau système de navigation aérienne,,1,,,,,,,,
1899,fr,Mary,LTA,284713,1899/01/06,Balloon train,L'Aerophile Sep 1899 p108,Train aérostat,,1,,,,,,,,
1899,fr,Malézieux,"LTA, Propulsion",284889,1899/01/12,System for aerostat direction and propulsion,L'Aerophile Sep 1899 p108,Nouveau système de propulsion et de direction des aérostats,,1,,,,,,,,
1899,fr,Paloux,Engine,285011,1899/01/05,Light rotary engine,L'Aerophile Sep 1899 p108,Moteur rotatif léger,,1,,,,,,,,
1899,fr,Zarski,LTA,285205,1899/01/23,Platform (or design?) for dirigibles,L'Aerophile Sep 1899 p108,Nouvelle disposition de plate-forme pour aérostats dirigeables,,1,,,,,,,,
1899,fr,Suter,Airplane,285269,1899/01/25,Steerable aerial vehicle,L'Aerophile Sep 1899 p108,Véhicule aérien dirigeable,,1,,,,,,,,
1899,fr,Gentil,LTA,285756,1899/02/09,Steerable aerostat,L'Aerophile Sep 1899 p108,Aérostat dirigeable,,1,,,,,,,,
1899,fr,Burckhardt,LTA,285825,1899/02/11,"Gas pump system with valves, compressors, and pneumatic pressure",L'Aerophile Sep 1899 p108,Système de distribution par soupapes pour pompes à gaz (compresseurs ou machines pneumatiques),,1,,,,,,,,
1899,fr,Watkin,instrument,285841,1899/02/13, Barometer,L'Aerophile Sep 1899 p108,Perfectionnements dans les baromètres anéroides,,1,,,,,,,,
1899,fr,Mme Prat,LTA,286389,1899/03/01,Dirigible,L'Aerophile Sep 1899 p108,Nouveau ballon dirigeable,,1,,,,,,,,
1899,fr,De La Touche,LTA,286541,1899/03/06,Safe twin captive balloons,L'Aerophile Sep 1899 p108,Ballons jumeaux captifs économiques et sans danger,,1,,,,,,,,
1899,fr,Giampietro,Airplane,287459,1899/04/01,Steerable aircraft improvement,L'Aerophile Sep 1899 p108,Perfectionnements dans les bateaux aériens dirigeables,,1,,,,,,,,
1899,fr,Fritsch,Airplane,287754,1899/04/12,System for testing flying machines and for learning to fly,L'Aerophile Sep 1899 p108,Dispositif pour essayer les appareils à voler et pour apprendre l'aviation,,1,,,,,,,,
1899,fr,Pompeien-Piraud,Airplane,288601,1899/05/10,Pompeien airplane,L'Aerophile Dec 1899 p154,Appareil de navigation aérienne dit Aéroplane Pompeien,,1,,,,,,,,
