"Year protection applied","Where filed","Who","Tech field","Patent #","more date info","Title/summary in English","Sources and notes  (see Sources worksheet for details)","Notes","Original language patent title (or closest available info)","Supplementary to","related to aircraft?","date applied for","date granted","Serial no.","Global patent id"
1893,"de","Ozeyowski",,,"1893/01/17","Mit Flügeln ausgerüstetes Luftschiff in Bootsform","Lilienthal museum",,"Mit Flügeln ausgerüstetes Luftschiff in Bootsform",,1,,,,
1893,"de","Severo",,,"1893/01/18","Luftschiff","Lilienthal museum",,"Luftschiff",,1,,,,
1893,"de","Schubert",,,"1893/02/15","Zum Tragen von Personen bestimmter Drachen","Lilienthal museum",,"Zum Tragen von Personen bestimmter Drachen",,1,,,,
1893,"de","Chillingworth, Rudolf (Nürnberg)","Ornithopter (?)",71799,"1893/03/07","Flying machine with two wings attached; patent of addition to patent 70,409 with more suitable device for motor operation","Lilienthal museum",,"Flugmaschine mit zwei an derselben befestigten Flügeln ; Zusatzpatent zu 70409 für motorischen Betrieb besser geeigneter Vorrichtung","DE70409",1,"1893/03/07","1893/11/01",,
1893,"de","Lilienthal, Otto","DE85; ---",71479,"1893/04/15","Process for the conversion of wastewater into the ground","Lilienthal museum",,"Verfahren zur Ueberführung von Abwässern in den Erdboden",,0,"1893/04/15","1894/10/16",,
1893,"de","Czygan, Richard (Hermeskeil)","DE77; propulsion",73799,"1893/04/17","Propellers for airships","Lilienthal museum",,"Dreh-Propeller für Luftschiffe",,1,"1893/04/17","1894/03/16",,
1893,"de","Czygan, Richard (Hermeskeil)","control",80151,"1893/04/18","rotating propeller upscale airship","Lilienthal museum","helicopter?  Steering mechanism","Durch einen Drehpropeller gehobenes Luftschiff",,1,"1893/04/18","1895/03/07",,
1893,"de","Wellner",,,"1893/04/22","Segelrad für Flugmaschinen","Lilienthal museum",,"Segelrad für Flugmaschinen",,1,,,,
1893,"de","Roze",,,"1893/05/05","Flugmaschine mit Glasebalgähnlichen Anhängseln an den Ballons zur Aufnahme des beim Szeigen sich aus","Lilienthal museum",,"Flugmaschine mit Glasebalgähnlichen Anhängseln an den Ballons zur Aufnahme des beim Szeigen sich aus",,1,,,,
1893,"de","Voorde",,,"1893/05/18","Luftschiff mit Luftwiderstandsschirm","Lilienthal museum",,"Luftschiff mit Luftwiderstandsschirm",,1,,,,
1893,"de","Homeister",,,"1893/05/26","Luftschiff ohnr Ballon","Lilienthal museum",,"Luftschiff ohnr Ballon",,1,,,,
1893,"de","Riedinger, A.",,,"1893/06/10","Verfahren um das Aufsteigen von Flugmaschinen zu ermöglichen,","Lilienthal museum",,"Verfahren um das Aufsteigen von Flugmaschinen zu ermöglichen,",,1,,,,
1893,"de","Wolff, C.",,,"1893/07/09","Luftschiff mit einem um eine freie Achse rotierenden Ballon","Lilienthal museum",,"Luftschiff mit einem um eine freie Achse rotierenden Ballon",,1,,,,
1893,"de","Lindenberg, Erich (Berlin)","DE77; LTA",74227,"1893/07/14","Airship with balloons and propeller","Lilienthal museum",,"Luftschiff mit Ballons",,1,"1893/07/14","1894/04/02",,
1893,"de","Ammann (Thailtingen in Württemberg)",,75900,"1893/08/10","Airship with forward curved side wings and a horizontal axis oscillating sailing-tail","Lilienthal museum",,"Luftschiff mit nach vorn geneigten Seitenflügeln und einem um eine waagerechte Achse pendelnden Schwanzsegel",,1,,,,
1893,"de","Lilienthal, Otto (Berlin)","Wings; glider",77916,"1893/09/03","Flying machine ; glider","Lilienthal museum",,"Flugapparat",,1,"1893/09/03","1894/11/10",,
1893,"de","Riedinger, A.",,,"1893/10/10","Luftballon mit einer der Luftströmung entgegen gerichteten Öffnung","Lilienthal museum",,"Luftballon mit einer der Luftströmung entgegen gerichteten Öffnung",,1,,,,
1893,"de","Fillmann, Magnus (Amsterdam)","DE77;  LTA",76575,"1893/10/12","Airship in boat shape","Lilienthal museum",,"Luftschiff in Bootsform","DE71143",1,"1893/10/12","1894/08/11",,
1893,"de","Sauce",,,"1893/10/22","Luftschiff mit einer gegen den Horizont beliebig verstellbaren Tragfläche","Lilienthal museum",,"Luftschiff mit einer gegen den Horizont beliebig verstellbaren Tragfläche",,1,,,,
1893,"de","Israel, Hermann (Dresden)","DE77; control; aircraft",78033,"1893/11/15","winged propelled aircraft","Lilienthal museum",,"Flugmaschine",,1,"1893/11/15","1894/12/01",,
1893,"de","Hurlbut (Paterson (Grafschaft Passaic USA))",,76158,"1893/11/18","Schraube zum Steuern von Luftschiffen","Lilienthal museum",,"Schraube zum Steuern von Luftschiffen",,1,,,,
1893,"de","Dähn, Franz F.C. (Stralsund)","airship; LTA; wing; airfoil",77871,"1893/12/12","wing assembly for airships","Lilienthal museum",,"Flügel-Anordnung für Luftschiffe",,1,"1893/12/12","1894/11/06",,
1893,"de","Meyer, E. (Hamburg)",,76287,"1893/12/23","Schaufelrad-Vorrichtung zum Vorwärtsbewegen und Steuern von Luftschiffen","Lilienthal museum",,"Schaufelrad-Vorrichtung zum Vorwärtsbewegen und Steuern von Luftschiffen",,1,,,,
1893,"de","Stark",,,,"Motorflugapparat","Lilienthal museum",,"Motorflugapparat",,1,,,,
1894,"de","Ozeyowski",,,"1894/01/20","Flügelfahrzeug, dadurch gekennzeichnet das Flügel gleichzeitig als Gasbehälter dienen","Lilienthal museum",,"Flügelfahrzeug, dadurch gekennzeichnet das Flügel gleichzeitig als Gasbehälter dienen",,1,,,,
1894,"de","Schüssler",,,"1894/01/26","Stellvorrichtung für Flugapparate mit gewölbten Segel","Lilienthal museum",,"Stellvorrichtung für Flugapparate mit gewölbten Segel",,1,,,,
1894,"de","Rammoser",,,"1894/02/23","Luftschiff mit Ballon","Lilienthal museum",,"Luftschiff mit Ballon",,1,,,,
1894,"de","Boehm (Breslau)",,85903,"1894/02/27","Lenkbare Flugmaschine mit Steigschrauben","Lilienthal museum",,"Lenkbare Flugmaschine mit Steigschrauben",,1,,,,
1894,"de","Martin, L. (Klausenburg, Ungarn, Hungary)",,81303,"1894/03/31","Schaufelrad für Flugmaschinen oder dgl.","Lilienthal museum",,"Schaufelrad für Flugmaschinen oder dgl.",,1,,,,
1894,"de","Gaebert (Berlin)",,79446,"1894/04/11","Verfahren, Lasten in die Luft zu heben bzw. zu fliegen","Lilienthal museum",,"Verfahren, Lasten in die Luft zu heben bzw. zu fliegen",,1,,,,
1894,"de","Oetling",,,"1894/04/17","Flugrad mit sich selbsttätig einstellenden Schaufeln","Lilienthal museum",,"Flugrad mit sich selbsttätig einstellenden Schaufeln",,1,,,,
1894,"de","Roeper",,,"1894/05/09","Luftschiff mit Tragsegel","Lilienthal museum",,"Luftschiff mit Tragsegel",,1,,,,
1894,"de","Kühner (Stuttgart/d)",,82230,"1894/05/20","Segelrad für Flugmaschinen","Lilienthal museum",,"Segelrad für Flugmaschinen",,1,,,,
1894,"de","Gaebert (Berlin)",,82257,"1894/06/05","Ausführungsform der unter Patent 79446 geschützten Flugmaschine","Lilienthal museum",,"Ausführungsform der unter Patent 79446 geschützten Flugmaschine",,1,,,,
1894,"de","Israel, Hermann (Dresden)",,80205,"1894/06/12","Flugvorrichtung mit senkrecht schwingenden Flügeln, deren Lager verschiebbar sind","Lilienthal museum",,"Flugvorrichtung mit senkrecht schwingenden Flügeln, deren Lager verschiebbar sind",,1,,,,
1894,"de","Loehr (Treuchtlingen)",,82954,"1894/06/12","Lenkbares Luftschiff","Lilienthal museum",,"Lenkbares Luftschiff",,1,,,,
1894,"de","Palacios",,,"1894/06/28","Luftschiff mit mehreren, mit Klappen oder Ventilen versehenen, gegenüber angeordneten und in ihrer Bewegung voneinander unabhängigen Flächen","Lilienthal museum",,"Luftschiff mit mehreren, mit Klappen oder Ventilen versehenen, gegenüber angeordneten und in ihrer Bewegung voneinander unabhängigen Flächen",,1,,,,
1894,"de","Gaebert (Berlin)",,82904,"1894/09/24","Ausgestaltung der Flugmaschine Patent 79446","Lilienthal museum",,"Ausgestaltung der Flugmaschine Patent 79446","DE79446",1,"1894/09/24",,,
1894,"de","May (Hamburg)",,83034,"1894/10/02","Luftschiff mit parallel übereinander um einen Mast drehbar angeordneten Tragflächen","Lilienthal museum",,"Luftschiff mit parallel übereinander um einen Mast drehbar angeordneten Tragflächen",,1,,,,
1894,"de","May (Hamburg)",,82482,"1894/10/02","Luftschiff mit einem in einem Rohr arbeitenden Schraubenpropeller","Lilienthal museum",,"Luftschiff mit einem in einem Rohr arbeitenden Schraubenpropeller",,1,,,,
1894,"de","Steinau",,,"1894/10/11","Stoßflächen für Luft- und Wasserfahrzeuge","Lilienthal museum",,"Stoßflächen für Luft- und Wasserfahrzeuge",,1,,,,
1894,"de","Borgfeld (Brooklyn, New York, US)",,84567,"1894/12/05","Flugapparat mit über die Drehachsen nach innen verlängerten Flügel","Lilienthal museum",,"Flugapparat mit über die Drehachsen nach innen verlängerten Flügel",,1,,,,
1894,"de","Steinicke",,,"1894/12/12","Luftschiff","Lilienthal museum",,"Luftschiff",,1,,,,
1894,"de","Billwiller, Carl Friedrich (Zürich)","DE77; propulsion; control",84394,"1894/12/16","Airship with a steering device","Lilienthal museum. Full text:  http://www.museumnet.lilienthal-museum.de/digitalisate/de000000084394a.pdf",,"Luftschiff mit Lenkvorrichtung",70746,1,"1894/12/16","1895/11/30",,
1894,"de","Oetling",,,"1894/12/24","Flugrad Vervollkommnung des Patentes 80847","Lilienthal museum",,"Flugrad Vervollkommnung des Patentes 80847",,1,,,,
1895,"de","Lilienthal, Otto","DE77",84417,"1895/05/29","Flying machine","Lilienthal museum ;
PDF: http://www.museumnet.lilienthal-museum.de/digitalisate/l3941.pdf ;
their database info: http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=8039 ;",,"Flugapparat","DE1893-77916",1,,,,"DE1895-84417"
1895,"de","Kersten (Köln)",,84719,"1895/01/24","Flugvorrichtung zum Aufsteigen in die Luft unter dem Einfluß horizontaler Luftströmungen von wechselder Richtung und Stärke","Lilienthal museum",,"Flugvorrichtung zum Aufsteigen in die Luft unter dem Einfluß horizontaler Luftströmungen von wechselder Richtung und Stärke",,1,,,,
1895,,"Lilienthal, Otto",,,"1895/02/01","Flying machine","Lilienthal museum","don't count ; it's a reference to the US patent","Flying Machine",,0,,,,
1895,"de","Schmidt, O.",,,"1895/02/23","Flugapparat mit zweiteiligen Flügeln","Lilienthal museum",,"Flugapparat mit zweiteiligen Flügeln",,1,,,,
1895,"de","Schmidt, O.",,,"1895/02/23","Steuerapparat für Flugmaschinen","Lilienthal museum",,"Steuerapparat für Flugmaschinen",,1,,,,
1895,"de","Gaebert (Berlin)",,86738,"1895/02/26","Ausführungsform der Flugmaschine unter Patent 79446","Lilienthal museum",,"Ausführungsform der Flugmaschine unter Patent 79446","DE79446",1,"1895/02/26",,,
1895,"de","Gaebert (Berlin)",,86289,"1895/03/06","Absprungvorrichtung für Flugmaschinen","Lilienthal museum",,"Absprungvorrichtung für Flugmaschinen",,1,,,,
1895,"de","Rentzsch",,,"1895/03/23","Parrallel und gegenläufig bewegte Flügel für Luftfahrzeuge","Lilienthal museum",,"Parrallel und gegenläufig bewegte Flügel für Luftfahrzeuge",,1,,,,
1895,"de","Jacob (Kreuznach)",,86041,"1895/04/23","Flugmaschine mit Flügeln","Lilienthal museum",,"Flugmaschine mit Flügeln",,1,,,,
1895,"de","Reiter",,,"1895/04/26","flight device","Lilienthal museum",,"Flugvorrichtung",,1,,,,
1895,"de","Booth, Henry Shepley (Manchester, Country of Lancaster, England)","DE77 ; Airplane",85688,"1895/05/03","Flying machine with wings on both sides of the vehicle spinning/swinging about transverse axes as propellers","Lilienthal museum ; full patent: http://www.museumnet.lilienthal-museum.de/digitalisate/de000000085688a.pdf",,"Flugmaschine mit zu beiden Seiten des Fahrzeuges angeordneten Flügeln mit um Querachsen schwingende Blätter tragenden Wellen",,1,"1895/05/03","1896/02/25",,
1895,"de","Zeppelin",,,"1895/08/31","Lenkbares Luftfahrzeug mit mehreren hintereinander angeordneten Tragkörpern","Lilienthal museum",,"Lenkbares Luftfahrzeug mit mehreren hintereinander angeordneten Tragkörpern",,1,,,,
1895,"de","Edward (Grafsch.Racine USA)",,95179,"1895/12/21","Vorrichtung zur Erhaltung von Luftschiffen in einer bestimmten Höhe mittels Barometers","Lilienthal museum",,"Vorrichtung zur Erhaltung von Luftschiffen in einer bestimmten Höhe mittels Barometers",,1,,,,
1895,"de","Edward (Racine, Wisconsin, US)",,95597,"1895/12/31","Luftschiff mit in der Längs-Achse angeordneten inneren Gang","Lilienthal museum",,"Luftschiff mit in der Längs-Achse angeordneten inneren Gang",,1,,,,
1896,"de","Baden-Powell (London)","DE77 ; Kites",88995,"1896/01/14","Kites for lifting loads","Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/de000000088995a.pdf",,"Drachen zum Heben von Lasten",,1,"1896/01/14","1896/10/12",,
1896,"de","Beckmann, Armin (Charlottenburg)","LTA  ; navigation",93692,"1896/01/31","Steerable airship","Lilienthal museum",,"Lenkbares Luftschiff; http://www.museumnet.lilienthal-museum.de/digitalisate/de000000093692a.pdf",,1,"1896/01/31","1897/10/01",,
1896,"de","Schörke",,,"1896/04/22","Lenkbares Luftschiff ohne Steuer","Lilienthal museum",,"Lenkbares Luftschiff ohne Steuer",,1,,,,
1896,"de","Beenen (Dresden)",,98109,"1896/05/06","Umstellvorrichtung für Flugvorrichtungen","Lilienthal museum",,"Umstellvorrichtung für Flugvorrichtungen",,1,,,,
1896,"de","Molnár",,,"1896/05/14","Flugmaschine","Lilienthal museum",,"Flugmaschine",,1,,,,
1896,"de","Israel, Hermann (Dresden)",,93184,"1896/06/10","Flugmaschine mit senkrecht schwingenden Flügeln","Lilienthal museum",,"Flugmaschine mit senkrecht schwingenden Flügeln",,1,,,,
1896,"de","Ozeyowski",,,"1896/07/06","Schlagflieger","Lilienthal museum",,"Schlagflieger",,1,,,,
1896,"de","Götze (Berlin)",,95914,"1896/09/25","Luftschiff mit concav geschweiften, eine Schneide bildenden Bodenflächen","Lilienthal museum",,"Luftschiff mit concav geschweiften, eine Schneide bildenden Bodenflächen",,1,,,,
1897,"de","Rudolph, H.",,,"1897/01/19","Fesselballon mit Drachenfläche","Lilienthal museum",,"Fesselballon mit Drachenfläche",,1,,,,
1897,"de","Lilienthal, G. (review)","Klasse 37: Hochbauwesen.",100730,"1897/09/08","Hohler Baustein","Lilienthal museum",,"Hohler Baustein",,1,"1897/09/08","1898/12/31",,
1897,"de","Lilienthal, G.",,100194,"1897/09/08","Decke","Lilienthal museum","ausgegeben am 13. 12. 1898, 2. Auflage ausgegeben 15. Okt. 1902","Decke",,1,"1897/09/08","1898/12/13",,
1897,"de","Nipkow",,,"1897/09/14","Rad mit beweglichen Schaufeln für Luft und Wasserfahrzeuge","Lilienthal museum",,"Rad mit beweglichen Schaufeln für Luft und Wasserfahrzeuge",,1,,,,
1897,"de","Gaebert (Berlin)",,100399,"1897/12/22","Verfahren und Einrichtung zum Abflug von Aeroplanen","Lilienthal museum",,"Verfahren und Einrichtung zum Abflug von Aeroplanen",,1,,,,
1897,"de","Zeppelin",,,"1897/12/28","Luftfahrzeug mit verschiebbaren Schlepptauen","Lilienthal museum",,"Luftfahrzeug mit verschiebbaren Schlepptauen",,1,,,,
1898,"de","Zarski",,,"1898/06/01","lenkbares Luftschiff mit durch Planetenräder angetriebenen Wendeflügelrädern","Lilienthal museum",,"lenkbares Luftschiff mit durch Planetenräder angetriebenen Wendeflügelrädern",,1,,,,
1898,"de","Jager (Werder b. Dabergotz)",,108214,"1898/06/18","Anfahrvorrichtung für Flugmaschinen","Lilienthal museum",,"Anfahrvorrichtung für Flugmaschinen",,1,,,,
1898,"de","Verein",,,"1898/06/21","Vorrichtung zur Vorwärtsbewegung von Körpern in der Luft durch die Schwerkraft mittels nach vorn geneigter, zusammengesetzter Segelflächen","Lilienthal museum",,"Vorrichtung zur Vorwärtsbewegung von Körpern in der Luft durch die Schwerkraft mittels nach vorn geneigter, zusammengesetzter Segelflächen",,1,,,,
1898,"de","Fritsch (Gautzsch bei Leipzig)",,107493,"1898/06/23","Vorrichtung zur Erprobung von Flugapparaten","Lilienthal museum",,"Vorrichtung zur Erprobung von Flugapparaten",,1,,,,
1898,"de","Henrich, Michael; Bielefeld, Franz (Haag)",,111522,"1898/06/24","Airship with a balloon to the gondola rotated about its vertical axis","Lilienthal museum",,"Luftschiff mit einer zum Ballon um ihre senkrechte Achse drehbaren Gondel",,1,"1898/06/24",6/15/1900,,
1898,"de","Lehmann",,,"1898/08/20","Von Anhöhen aus in Betrieb zu setzende Flugvorrichtung","Lilienthal museum",,"Von Anhöhen aus in Betrieb zu setzende Flugvorrichtung",,1,,,,
1898,"de","Nipkow",,,"1898/12/02","Rad mit beweglichen Schaufeln für Luft und Wasserfahrzeuge","Lilienthal museum",,"Rad mit beweglichen Schaufeln für Luft und Wasserfahrzeuge",,1,,,,
1898,"de","Schlie",,,"1898/12/28","Verfahren und Maschine, Flugmaschinen von der Erde aufsteigen zu lassen","Lilienthal museum",,"Verfahren und Maschine, Flugmaschinen von der Erde aufsteigen zu lassen",,1,,,,
1899,"de","Suter",,,"1899/01/23","Steuervorrichtung an Luftfahrzeugen","Lilienthal museum",,"Steuervorrichtung an Luftfahrzeugen",,1,,,,
1899,"de","Suter",,,"1899/01/24","Fortbewegungsvorrichtung für Luftfahrzeuge","Lilienthal museum",,"Fortbewegungsvorrichtung für Luftfahrzeuge",,1,,,,
1899,"de","Breiner (Leipzig-Connewitz)",,112854,"1899/03/18","Luftschiff","Lilienthal museum",,"Luftschiff",,1,"1899/03/18",8/28/1900,,
1899,"de","Boinet (Paris); Luftschiffgesellschaft ""Roze""",,112264,"1899/05/11","Starrer Ballon mit Querwänden","Lilienthal museum",,"Starrer Ballon mit Querwänden",,1,"1899/05/11",6/8/1900,,
1899,"de","Danilewski (Charkow, Russia)",,103105,"1899/05/18","Aus einem Ballon und einem an diesem hängenden Flügelmechanismus bestehenden Luftschiff","Lilienthal museum",,"Aus einem Ballon und einem an diesem hängenden Flügelmechanismus bestehenden Luftschiff",,1,"1899/05/18",,,
1899,"de","Rommelsbacher",,,"1899/08/31","Luftschraubenrad","Lilienthal museum",,"Luftschraubenrad",,1,,,,
1899,"de","Trimpler",,,"1899/09/29","Flugvorrichtung","Lilienthal museum",,"Flugvorrichtung",,1,,,,
1899,"de","Campe (Berlin)",,112855,"1899/10/26","Luftschiff mit Jalousieklappenflügeln","Lilienthal museum",,"Luftschiff mit Jalousieklappenflügeln",,1,"1899/10/26",9/1/1900,,
1899,"de","Buchanau (Closewoods, England)",,131930,"1899/10/28","Schrauben-und Steuerflächen für Luftschiffe bzw. Schiffe aller Art","Lilienthal museum",,"Schrauben-und Steuerflächen für Luftschiffe bzw. Schiffe aller Art",,1,"1899/10/28",6/25/1902,,
1899,"de","Krocker (Teplitz in Böhmen)",,123884,"1899/11/28","Luftschiff mit in einer den länglichen Ballonkörper durchsetzenden Röhre angeordneten Schrauben","Lilienthal museum",,"Luftschiff mit in einer den länglichen Ballonkörper durchsetzenden Röhre angeordneten Schrauben",,1,"1899/11/28",9/2/1901,,
1900,"de","Ozeyowski",,,2/4/1900,"Luftfahrzeug","Lilienthal museum",,"Luftfahrzeug",,1,,,,
1900,"de","Jung (Stolp, Pommern)",,129146,2/17/1900,"Mit Ruderflügeln ausgerüsteter Gleitflieger","Lilienthal museum",,"Mit Ruderflügeln ausgerüsteter Gleitflieger",,1,,,,
1900,"de","Grassel (Augsburg)",,125202,3/16/1900,"Luftschiff mit doppelt übereinander angeordneten Wendeflügelpaaren","Lilienthal museum",,"Luftschiff mit doppelt übereinander angeordneten Wendeflügelpaaren",,1,3/16/1900,11/22/1901,,
1900,"de","Vogelsang",,,4/11/1900,"Pfeildrachen mit sich verlegendem Schwerpunkt","Lilienthal museum",,"Pfeildrachen mit sich verlegendem Schwerpunkt",,1,,,,
1900,"de","Kalisch (Budapest)",,128658,6/24/1900,"Schraubenflügelanordnung","Lilienthal museum",,"Schraubenflügelanordnung",,1,6/24/1900,3/11/1902,,
1900,"de","Schneider, E.",,,6/28/1900,"Luftschiff mit Schlagflügeln","Lilienthal museum",,"Luftschiff mit Schlagflügeln",,1,,,,
1900,"de","Ulrich",,,7/22/1900,"Flaches gondelloses Luftfahrzeug","Lilienthal museum",,"Flaches gondelloses Luftfahrzeug",,1,,,,
1900,"de","Groombridge (London); South William Alfred",,137242,8/14/1900,"Wendeflügelanordnung für Flugmaschinen","Lilienthal museum",,"Wendeflügelanordnung für Flugmaschinen",,1,8/14/1900,1/3/1903,,
1900,"de","Kohn (Pozega, Croatia)",,134728,9/28/1900,"Lenkbares Luftschiff","Lilienthal museum",,"Lenkbares Luftschiff",,1,9/28/1900,9/30/1902,,
1900,"de","Oertzen",,,9/29/1900,"Vorrichtung zur Erhaltung der Gleichgewichtslage an Luftfahrzeugen","Lilienthal museum",,"Vorrichtung zur Erhaltung der Gleichgewichtslage an Luftfahrzeugen",,1,,,,
1900,"de","Lehmann, Walter (Berlin)",,134220,10/25/1900,"Flügelfläche für Luftfahrzeuge","Lilienthal museum",,"Flügelfläche für Luftfahrzeuge",,1,10/25/1900,9/23/1902,,
1901,"de","Dillon-Gregg",,130070,1/23/1901,"lenkbares Luftschiff","Lilienthal museum",,"lenkbares Luftschiff",,1,1/23/1901,5/2/1902,,
1901,"de","Saloni",,,2/19/1901,"Schraube für lenkbare Luftschiffe","Lilienthal museum",,"Schraube für lenkbare Luftschiffe",,1,,,,
1901,"de","Saloni",,,2/19/1901,"lenkbares Luftschiff","Lilienthal museum",,"lenkbares Luftschiff",,1,,,,
1901,"de","Léger (Monaco)",,141019,2/21/1901,"Flugvorrichtung","Lilienthal museum",,"Flugvorrichtung",,1,2/21/1901,5/22/1903,,
1901,"de","Riedinger, A.",,,2/23/1901,"Luftschraube","Lilienthal museum",,"Luftschraube",,1,,,,
1901,"de","Richter",,,2/24/1901,"Zusammensetzbare Spielzeugbrücke","Lilienthal museum",,"Zusammensetzbare Spielzeugbrücke",,1,,,,
1901,"de","Wappler",,,2/26/1901,"lenkbarer Luftballon","Lilienthal museum",,"lenkbarer Luftballon",,1,,,,
1901,"de","Finsterwalder",,,3/19/1901,"Verfahren zum ökonomischen Zuschneiden von Ballonhüllen","Lilienthal museum",,"Verfahren zum ökonomischen Zuschneiden von Ballonhüllen",,1,,,,
1901,"de","Burkhardt",,141948,5/9/1901,"Luftballon mit Schraubenflächen","Lilienthal museum",,"Luftballon mit Schraubenflächen",,1,5/9/1901,6/27/1903,,
1901,"de","Gutzeit (Stargard)",,146739,6/10/1901,"Vorrichtung zum Bewegen von Luftschiffen mittels eigentümlich bewegter Flügel","Lilienthal museum",,"Vorrichtung zum Bewegen von Luftschiffen mittels eigentümlich bewegter Flügel",,1,,,,
1901,"de","Lehmann, Walter (Berlin)",,139180,8/30/1901,"Flügelfläche für Luftfahrzeuge","Lilienthal museum",,"Flügelfläche für Luftfahrzeuge",,1,8/30/1901,3/4/1903,,
1901,"de","Felle (München)",,139724,9/13/1901,"Luftschiff mit Tragflächen","Lilienthal museum",,"Luftschiff mit Tragflächen",,1,,,,
1901,"de","Uhl",,,10/1/1901,"Schlagflügelanordnung für Flugmaschinen","Lilienthal museum",,"Schlagflügelanordnung für Flugmaschinen",,1,,,,
1901,"de","Severo",,,10/22/1901,"lenkbares Luftschiff","Lilienthal museum",,"lenkbares Luftschiff",,1,,,,
1901,"de","Mawhood",,,11/20/1901,"Lenkbares Luftschiff","Lilienthal museum",,"Lenkbares Luftschiff",,1,,,,
1901,"de","Lehmann",,,11/23/1901,"Anflugvorrichtung","Lilienthal museum",,"Anflugvorrichtung",,1,,,,
1901,"de","Riedinger, A.",,,1901,"Riedinger-Sigsfeldsche Flugapparat für eine Katapultstartvorrichtung f. Flugmaschinen","Lilienthal museum",,"Riedinger-Sigsfeldsche Flugapparat für eine Katapultstartvorrichtung f. Flugmaschinen",,1,,,,
1902,"de","Richter",,,1/3/1902,"Spielsteine für Mosaikspiele","Lilienthal museum",,"Spielsteine für Mosaikspiele",,1,,,,
1902,"de","Lehmann, Walter (Berlin)",,139725,1/14/1902,"Flugvorrichtung","Lilienthal museum",,"Flugvorrichtung",,1,1/14/1902,3/28/1903,,
1902,"de","Lehmann, Walter (Berlin)",,145725,2/26/1902,"Luftballon mit Antriebsvorrichtung","Lilienthal museum",,"Luftballon mit Antriebsvorrichtung",,1,,,,
1902,"de","Seiberl",,,3/17/1902,"Steuervorrichtung für durch Schrauben bewegte Luftfahrzeuge","Lilienthal museum",,"Steuervorrichtung für durch Schrauben bewegte Luftfahrzeuge",,1,,,,
1902,"de","Götz (Rohr O.-A. Stittgard)",,139854,3/18/1902,"Flugvorrichtung mit Tragschirmen","Lilienthal museum",,"Flugvorrichtung mit Tragschirmen",,1,3/18/1902,4/14/1903,,
1902,"de","Sebillot",,,3/18/1902,"Hèißluftballon","Lilienthal museum",,"Hèißluftballon",,1,,,,
1902,"de","Seiberl",,,3/25/1902,"Einstellvorrichtung für unter dem Fahrzeugboden angeordnete Segelflächen an Luftfahrzeugen","Lilienthal museum",,"Einstellvorrichtung für unter dem Fahrzeugboden angeordnete Segelflächen an Luftfahrzeugen",,1,,,,
1902,"de","Meyer, F.",,,4/5/1902,"Vorrichtung zum Steuern von Luftschiffen mittels Treibschrauben","Lilienthal museum",,"Vorrichtung zum Steuern von Luftschiffen mittels Treibschrauben",,1,,,,
1902,"de","Martienssen",,,4/14/1902,"Schraubenartig wirkende Antriebsrichtung zum Tragen oder Fortbewegen eines Körpers in der Luft","Lilienthal museum",,"Schraubenartig wirkende Antriebsrichtung zum Tragen oder Fortbewegen eines Körpers in der Luft",,1,,,,
1902,"de","Tarczal",,,5/6/1902,"Drachen","Lilienthal museum",,"Drachen",,1,,,,
1902,"de","Herves (Paris)",,150941,5/17/1902,"Fesselballon","Lilienthal museum",,"Fesselballon",,1,,,,
1902,"de","Hofmann (Berlin)",,143820,6/1/1902,"Flügel für Flugmaschinen","Lilienthal museum",,"Flügel für Flugmaschinen",,1,6/1/1902,9/11/1903,,
1902,"de","Hofmann, J. (Berlin)","Propulsion; DE65a",141656,6/7/1902,"screw propeller","Cited by a Hofmann's later patent DE175477",,"Schaubenpropeller",,,6/7/1902,6/12/1903,,
1902,"de","Moy",,,6/14/1902,"Vorrichtung zur Aufrechterhaltung der waagerechten Lage bei Luftschiffen","Lilienthal museum",,"Vorrichtung zur Aufrechterhaltung der waagerechten Lage bei Luftschiffen",,1,,,,
1902,"de","Tuckfield",,,6/23/1902,"Fesselflieger","Lilienthal museum",,"Fesselflieger",,1,,,,
1902,"de","Wellner",,,7/7/1902,"Dynamische Flugmaschine (Ringflieger)","Lilienthal museum",,"Dynamische Flugmaschine (Ringflieger)",,1,,,,
1902,"de","Hartig (Kändler bei Limbach in Sachsen)",,145866,8/12/1902,"Vorrichtung zur Veränderung der Schwingungsweite von Schlagflügeln bei Luftschiffen","Lilienthal museum",,"Vorrichtung zur Veränderung der Schwingungsweite von Schlagflügeln bei Luftschiffen",,1,,,,
1902,"de","Mary (Neuilly a. Seine)",,151564,8/21/1902,"Lenkbarer Luftballon","Lilienthal museum",,"Lenkbarer Luftballon",,1,,,,
1902,"de","Mary (Neuilly a. Seine)",,151757,8/22/1902,"Lenkbarer Luftballon","Lilienthal museum",,"Lenkbarer Luftballon",,1,,,,
1902,"de","Bourcart (Colmar im Els)",,145547,9/9/1902,"Flugmaschine mit zwei Luftschrauben, deren Flügel ineinandergreifen","Lilienthal museum",,"Flugmaschine mit zwei Luftschrauben, deren Flügel ineinandergreifen",,1,9/9/1902,11/19/1903,,
