Year granted,Where filed,Inventor(s),Tech field,Patent #,more date info,Title/summary in English,Sources,Notes,Original language patent title (or closest available info),Supplementary to patent ,related to aircraft?,date applied for,date granted,Serial no.,Global patent id,Assigned to [name (fraction); place],Patent agent,National/Local,International,
1904,us,"Ruggiero, Bartolo, & Gaetano Bongiorno; Brooklyn, NY",instrument,"770,024",1904/09/13,Horn for phonographs or similar machines,PTO 244,phonograph horn design to reduce machine noises and inconsistencies,Horn for phonographs or similar machines,,0,1904/06/24,,213916,,,,,,
1905,us,"Funk, Perry (Captain); Jeromeville, OH",,782744,1905/02/14,Folding umbrella,PTO 244,"umbrella with ribbed framework, can be folded & stored easily",Folding umbrella,,0,1904/11/19,,233497,,,,,,
1905,us,"Flucks, Paul; St. Louis, MO",Propulsion,783114,1905/02/21,Horseless vehicle,PTO 244,automobile for ground travel,Horseless vehicle,US 589710 (1897),0,1904/08/12,,220544,,,,,,
1905,us,"Pepper, Bruce Reaves; Yazoo City, MI",Propulsion,784345,1905/03/07,Bicycle attachment,PTO 244,magnetic bicycle attachment that stores up energy on downhill for later reuse by motor,Bicycle attachment,,0,1903/11/11,,180714,,,,,,
1905,us,"Collins, Charles; Rockyford, CO",,"801,711",1905/10/10,Plow,PTO 244,?sulky plow? for tuning back & covering field without redundancy,Plow,,0,1904/11/30,,234950,,,,,,
1906,us,"Settino, Pietro & Peter Hoover; Steelton, PA",,"812,532",1906/02/13,Automatic air-pipe coupling,PTO 244,coupling for pipes on the railway,Automatic air-pipe coupling,,0,1905/10/31,,285300,,,,,,
1906,us,"Pugh, Kate; Central City, CO",rescue,"816,183",1906/03/27,Fire-escape,PTO 244,Ladder-style mobile fire escape,Fire-escape,,0,1904/04/08,,202222,,,,,,
1906,us,"Guiou, Prior M & James R. Guiou; Kansas City, MO",,"824,178",1906/06/26,Umbrella,PTO 244,"collapsible umbrella with hinges, rods, catch",Umbrella,,0,1904/05/27,,210028,,"Stephens Thomas J. (1/3); Kansas City, MO",,,,
1906,us,"Hamilton, Belton Tattnall; Finchley, England; Lewis Stroud; London, England",,"830,146",1906/09/04,Locking device,PTO 244,device for locking a moving gear to a fixed machine element,Locking device,,0,1905/10/02,,281015,,,,,,
1906,us,"Guy, Albert E.; Trenton, NJ",,"832,256",1906/10/02,Blower,PTO 244,air blower with spiral duct,Blower,,0,1905/04/03,,253446,,"Delaval Steam Turbine Company; New York, NY",,,,
1907,us,"Howald, Ferdinand Jack; Santa Cruz, CA",parachute; marine,"843,946",1907/02/12,Fish-parachute,PTO 244,expands in the water to create resistance after a fish bites,Fish-parachute,,0,1906/11/27,,345326,,,,,,
1907,us,"Dawson, William F.; Rugby, England",instrument,"854,720",1907/05/28,Dynamometer,PTO 244,transforms kinetic energy into heat with friction,Dynamometer,,0,1905/11/14,,287257,,General Electric Company; New York,,,,
1907,us,"Shore, Albert F. and William Shore; New York, NY",electronics,"857,367",1907/06/18,Multo-conductor,PTO 244,conductor for a small electrical circuit,Multo-conductor,,0,1907/01/02,,350315,,,,,,
1907,us,"Calkins, Homer H.; Bloomfield, IN",Propulsion,"868,841",1907/10/22,Rotary-engine,PTO 244,engine with revolving drum & sliding pistons,Rotary-engine,,0,1907/06/03,,377921,,,,,,
1907,us,"Aasen, Niels Waltersen; Drbak, Norway",military,"871,156",1907/11/19,Explosive hand-shell,PTO 244,hand grenade with safety fuse,Explosive hand-shell,,0,1907/05/27,,375969,,"Rheinische Metall-Waren-Und Maschinefabrik; Dsseldorf -Derendorf, Germany",,,,
1907,us,"Myer, George; St. Louis, MO",,"875,574",1907/12/31,Folding umbrella,PTO 244,compact folding umbrella supported by ribs,Folding umbrella,,0,1907/07/03,,382695,,,,,,
1908,us,"Morgan, Alexander D.; West Roxbury, MA",brakes,"876,475",1908/01/14,Emergency-brake for motor-vehicles,PTO 244,emergency brake; seems mostly useful for ground vehicles,Emergency-brake for motor-vehicles,,0,1907/02/01,,355226,,,,,,
1908,us,"Vanderbilt, Herbert M.; Suffern, New York",brakes,"887,551",1908/05/12,Vehicle-brake,PTO 244,hard brake for land vehicle,Vehicle-brake,,0,1906/08/01,,328753,,,,,,
1908,us,"Jaeger, Charles H.; New York, NY",car,"889,613",1908/06/02,Railway-car,PTO 244,"design for a train car with seats, etc",Railway-car,,0,1907/04/09,,367158,,,,,,
1908,us,"Bagby, Milton M.; Denver, CO",,"892,970",1908/07/07,Sash-stop,PTO 244,pin for window curtain,Sash-stop,,0,1906/10/16,,339222,,,,,,
1908,us,"Corey, Franklin A.; Santa Paula, CA",,"896,057",1908/08/11,Automatic starter for gasolene-engines,PTO 244,starter for a motor,Automatic starter for gasolene-engines,,0,1907/12/16,,406806,,,,,,
1908,us,"Craw, William N.; South Norwalk, CT",cargo,"897,594",1908/09/01,Shipping-package,PTO 244,watertight shipping package doubles as storage vessel,Shipping-package,,0,1908/04/16,,427294,,,,,,
1908,us,"Lang, Lincoln A.; Cleveland, OH",propulsion; safety,"897,907",1908/09/08,Telemotor,PTO 244,safety / mechanical failsafe improvements to a motor,Telemotor,,0,1907/10/10,,396870,,,,,,
1908,us,"Harry, Owen K; St. Louis, MO",,"900,166",1908/10/06,Storage-receptacle,PTO 244,strong metal ashtray,Storage-receptacle,,0,1906/11/02,,341790,,,,,,
1908,us,"Polsgrove, William G.; Roswell, NM",,906284,1908/12/08,Vehicle,PTO 244,improvement intended primarily for unicycles,Vehicle,,,1908/01/23,,412838,,,,,,
1909,us,"Hicks, Edgar J.; Indianapolis, IN",,"911,041",1909/02/02,Pneumatic tire,PTO 244,tire for bicycle or automobile,Pneumatic tire,,0,1908/01/07,,409737,,,,,,
1909,us,"Krause, Paul; Babylon, NY",brakes,"918,680",1909/04/20,Emergency-stop for motor-vehicles,PTO 244,emergency brake lever for ground vehicles,Emergency-stop for motor-vehicles,,0,1907/11/12,,401791,,,,,,
1909,us,"de Ferranti, Sebastian Ziani; London, England",military; marine; propulsion,"925,889",1909/06/22,Turbine installation for torpedoes,PTO 89-1.51,design for fluid-powered underwater torpedo motor; ?REISSUED?,Turbine installation for torpedoes,,0,1905/04/17,,256107,,,,,,
1909,us,"Motton, Thomas; Toronto, Canada",propulsion; marine,"927,996",1909/07/13,System for propelling vessels,PTO 244,marine propulsion system injecting air into water,System for propelling vessels,,0,1909/07/13,,434787,,,,,,
1909,us,"Wilson, Lester G.; Larchmont, NY",,"929,741",1909/08/03,Wicket-door for rolling shutters,PTO 244,shutter with interlocking slats,Wicket-door for rolling shutters,,0,1908/06/22,,439661,,,,,,
1909,us,"Tasto, Johann (German); Treynor, ID",military; marine,"941,111",1909/11/23,Torpedo,PTO 244,Self-propelling marine torpedo w/ explosive,Torpedo,,0,1909/06/10,,501422,,,,,,
1910,us,"Duncombe, Tyrrell H.; St. Thomas, Ontario, Canada",,"953,739",1910/04/05,Coin-controlled vending apparatus,PTO 89-1.51,yes... a coin-operated vending machine,Coin-controlled vending apparatus,,0,1909/02/17,,478479,,,,,,
1912,no,"Wilcke, Richard (Fridenau v Berlin); Graff, Albert (Weissensee v Berlin) ",,22127,Fra 1 feb 1910,,Norsk Patenter Registers,,Luftskib.,,1,1910/02/01,,,,,,,,
1912 book,no,"Halvor Gaara av B?, Telemarken",,21987,Fra 11 aug 1910,,Norsk Patenter Registers,,Styreindretning for flyvemaskiner,,1,Fra 11 aug 1910,,,,,,,,
1912,no,"Wilcke, Richard (Fridenau v Berlin); Graff, Albert (Weissensee v Berlin) ",,22128,1910/02/01,,Norsk Patenter Registers,,Luftskib.,,1,1910/02/01,,,,,,,,
1912,no,"Wilcke, Richard (Fridenau v Berlin); Graff, Albert (Weissensee v Berlin) ",,22129,,,Norsk Patenter Registers,,Propeller for luftskibe,,1,,,,,,,,,
1912,no,Aurel Vliacu av Bukarest,,22238,Fra 19 nov 1910,,Norsk Patenter Registers,,Flyvemaskin med pilformet legeme,,1,Fra 19 nov 1910,,,,,,,,
1912,no,Hans Gunderson av Fredrikshald,,22259,Fra 17 juli 1911,,Norsk Patenter Registers,,Anordninger ved flyvemaskiner,,1,Fra 17 juli 1911,,,,,,,,
1912,no,Lewis Ginter Young av New York,,22260,Fra 26 aug 1911,,Norsk Patenter Registers,,Flyvemaskin,,1,Fra 26 aug 1911,,,,,,,,
1912,no,"August Wendtland av Wiesbaden, Tyskland",,22349,Fra 24 april 1911,,Norsk Patenter Registers,,Drivanordning for aeroplaner og lign,,1,Fra 24 april 1911,,,,,,,,
1912,no,Andre/ Julien Mahoudeau de Villethiou av Paris,,22350,Fra 18 dec 1911,,Norsk Patenter Registers,,Anordning ved drivskruer og lign,,1,Fra 18 dec 1911,,,,,,,,
1912,no,"Luft-Verkehrs-Gesellschaft m. b. H. av Charlottenburg, Tyskland. ",,22466,Fra 12 sep 1911,,Norsk Patenter Registers,,Anordning til ophoengning av gondoler for luftfarto/ier,,1,Fra 12 sep 1911,,,,,,,,
1912,no,John Washington Wilson av Boston USA,,22518,Fra 22 dec 1909,,Norsk Patenter Registers,,Flyvemaskin,,1,Fra 22 dec 1909,,,,,,,,
1912,no,Adolphe Doutre av Paris,,22519,Fra 26 jun 1911,,Norsk Patenter Registers,,Anordninger ved flyvemaskiner,,1,Fra 26 jun 1911,,,,,,,,
1912,no,"Thomas Augustus Dring av Trowbridge, England",,22617,Fra 14 mai 1910,,Norsk Patenter Registers,,Flyvemaskin,,1,Fra 14 mai 1910,,,,,,,,
1912,no,William Swart Romme av New-York,,22655,Fra 12 jul 1910,,Norsk Patenter Registers,,Flyvemaskin,,1,Fra 12 jul 1910,,,,,,,,
1911,no,"Michel Vinogradow av Alfort, Frankrige",,21148,Fra 11 aug 1909,,Norsk Patenter Registers,,Luft- og hydraulisk propeller,,1,Fra 11 aug 1909,,,,,,,,
1911,no,"Todd Churchill Wodworth av Williams, Arizona, USA",,21349,Fra 12 jan 1909,,Norsk Patenter Registers,,Anordninger ed flyvemaskiner,,1,Fra 12 jan 1909,,,,,,,,
1911,no,Arthur Henry Edwards og Martin Diederick Rucker av London,,21406,Fra 14 apr 1909,,Norsk Patenter Registers,,Anordning ved aeroplaner og lignende mekaniske flyvemaskiner,,1,Fra 14 apr 1909,,,,,,,,
1911,no,Hugo Erdmann av Charlottenburg v/Berlin,,21585,Fra 22 feb 1910,,Norsk Patenter Registers,,Anvendelse av flytende vandslof i luftskibsfarten,,1,Fra 22 feb 1910,,,,,,,,
1911,no,Nicolaus de Benois av St. Petersburg,,21587,Fra 30 mai 1910,,Norsk Patenter Registers,,Anordning ved aeroplaner  ,,1,Fra 30 mai 1910,,,,,,,,
1911,no,"Alfons Weiss av Urnitz, Tyskland",,21819,Fra 10 feb 1911,,Norsk Patenter Registers,,Anvendelse av et horisontalgyroskop ved flyvemaskiner for at hindre kantring,,1,Fra 10 feb 1911,,,,,,,,
1910,no,Alfred Wunderlich av Bryssel,,19928,Fra 28 jan 1908,,Norsk Patenter Registers,,Motor-flyvemaskin,,1,Fra 28 jan 1908,,,,,,,,
1910,no,E. Forlanini av Milano,,20078,Fra 10 apr 1905,,Norsk Patenter Registers,,Flyveskib (hydroplan),,1,Fra 10 apr 1905,,,,,,,,
1910,no,Alonzo Perry Blivan av Brooklyn,,20079,Fra 28 nov 1907,,Norsk Patenter Registers,,Anordninger ved styrbare luftskibe,,1,Fra 28 nov 1907,,,,,,,,
1910,no,O. Simensen og A. Colban av Kristiania,,20080,Fra 23 juni 1909,,Norsk Patenter Registers,,Sammenpakbar papirdrage,,1,Fra 23 juni 1909,,,,,,,,
1910,no,"Halvor Gaara av Bo/, Telemarken",,20421,Fra 20 dec 1909,,Norsk Patenter Registers,,Styreindretning for flyvemaskiner og lignende maskiner,,1,Fra 20 dec 1909,,,,,,,,
1910,no,"Halvor Gaara av B?, Telemarken",,20444,(Tillaeg til pat.-nr.20421)  Fra 20 dec 1909,,Norsk Patenter Registers,,Anordning ved styreindretning for flyvemaskiner og lignende maskiner,20421??,1,(Tillaeg til pat.-nr.20421)  Fra 20 dec 1909,,,,,,,,
1910,no,Nils Anton Pedersen Saubo av Sandfjord,,20478,Fra 10 nov 1909,,Norsk Patenter Registers,,Flyvemaskin,,1,Fra 10 nov 1909,,,,,,,,
1910,no,Frederich Carl Meyer og August Ernst Grimmer av Berlin,,20744,Fra 4 feb 1910,,Norsk Patenter Registers,,Faldskjoerm for luftskippere,,1,Fra 4 feb 1910,,,,,,,,
1909,no,"Gustav Klewat av Antsodehnen, Tyskland",,18828,Fra 16 mar 1908,,Norsk Patenter Registers,,Drageflyver med automatisk virkende loengde- og tverlikevegtskobling,,1,Fra 16 mar 1908,,,,,,,,
1908,no,Hans Henrik Jaeger av Kristiania,,18081,Fra 5 feb 1908,,Norsk Patenter Registers,"I classified this one; Gard didn't.  Dunno why.  It's from the 1908 book; don't know year, otherwise",Styreapparat for flyvemaskiner og lign,,1,Fra 5 feb 1908,,,,,,,,
1908,no,Aktiebolaget Aviatorer af Go/teborg,,17350,Fra 4 jul 1907,,Norsk Patenter Registers,1908 book,Drivemekanisme for vingerne av dynamiske flyvemaskiner,,1,Fra 4 jul 1907,,,,,,,,
1907,no,Niels Waltersen Aasen af Dro/bak,,17106,Fra 7 juni 1907,,Norsk Patenter Registers,,Raket-faldskjoerm,,1,Fra 7 juni 1907,,,,,,,,
1907,no,Aktiebolaget Aviatorer af G?teborg,,16780,Fra 21 jan 1907,,Norsk Patenter Registers,,Vinge for flyvemaskiner,,1,Fra 21 jan 1907,,,,,,,,
1905,no,"Gustav Kna[e]pper af Dortmund, Tyskland",,14160,Fra 9 dec 1904,,Norsk Patenter Registers,,Anordning til at give I luften svoevende gjenstande en lodret eller vandret bevoegelse,,1,Fra 9 dec 1904,,,,,,,,
1905,no,"Hugo Hu[e]ckel af Newtitschein, O/sterrige",klasse 77 and also klasse 46,13669,fra 7 mar 1904,maybe.   a motor thing for propellers or other purposes,Norsk Patenter Registers,,"Maskine, anvendelig som motor, pumpe, vifte eller propeller",,1,fra 7 mar 1904,,,,,,,,
1902,no,Cassius Monezuma Richmond af New York,77,11058,Fra 4 dec 1900,,Norsk Patenter Registers,1902 book,Luftskib.,,1,Fra 4 dec 1900,,,,,,,,
1902,no,"Victor Tarczal, Edmund Roheim og Joseph Simko af Budapest",77,10772,Fra 3 sep 1901,a stable kite,Norsk Patenter Registers,1902 book,Stabil drage,,1,Fra 3 sep 1901,,,,,,,,
1901,no,Maurice Lefer af Monaco,77,9804,Fra 21 feb 1901,flying machine,Norsk Patenter Registers,,Flyvemaskine,,1,Fra 21 feb 1901,,,,,,,,
1900,no,"Krocker, Rudolf af Teblitz, B?hmen",77,8600,Fra 5 dec 1899,propeller,Norsk Patenter Registers,"airscrew ; date was in spreadsheet here as ""1899/1900""; not sure why",Skrue til luftskibe,,1,1899/12/05,1900,,,,,,,
1899,no,Heinrich Suter af Kappel v/Zu[e]rich,77,7792,Fra 11 feb 1899,,Norsk Patenter Registers,,Mano/vrerbart luftfarto/i,,1,Fra 11 feb 1899,,,,,,,,
1899,no,Max Lochner af Charlottenburg,,7212,Fra 25 juli 1898,,Norsk Patenter Registers,,Luftskib.,,1,Fra 25 juli 1898,,,,,,,,
1898,no,F von Zeppelin of Stuttgart,,6789,Fra 3 januar 1898,,Norsk Patenter Registers,,Styrbart luftskib med flere af hinanden uaf hoengige motorer,,1,Fra 3 januar 1898,,,,,,,,
1894,no,Ramiro de Palacios (Steglitz); Wilhelm Goetjes (Berlin),,3814,Fra 10 aug 1894,,Norsk Patenter Registers,,Fremgangsmade og apparat for luftfart,,1,Fra 10 aug 1894,,,,,,,,
1891,no,"Capone, Frederico (Altavilla, Irpina, Italien. )",,2938,Fra 31 oct 1891,,Norsk Patenter Registers,in 1892 volume,Flyvemaskine,,1,Fra 31 oct 1891,,,,,,,,
1891,no,"Gabrielii, Georg (Christiana)",,2589,Fra 10 dec 1891,,Norsk Patenter Registers,in 1891 volume,Luftskib.,,1,Fra 10 dec 1891,,,,,,,,
1891,no,"Armand le Compagnon (Paris), Zelie Faucillon (Lille); Georges Joseph Prosper Dubois (Lille); Emile Aleide Royaux (le Forest)",,2451,Fra 21 nov 1891,,Norsk Patenter Registers,in 1891 volume,Styrbar luftballon,,1,Fra 21 nov 1891,,,,,,,,
1878,no,0,,,Resl. Datum: 6 sept 1878,airship,Norsk Patenter Registers,"""Bekjendtgjort: P.T. 1881, pag. 80.""  see the patent register book (Norske Patenter Udfaerdigende) volume for 1886-and-before, page 375.",Den af ham angivne anordning af luftballoner,,1,1878/09/06 ?,1882/03/17?,,,,,,,
1883,no,"Lorenz, Wilhelm",,,,airship,Norsk Patenter Registers,page 119,"""swapped with patent 212"".  (meaning unclear)   projectile weapons reference",,1,1877/03/17?,,,,,,,,
1914,no,Allgemeine Elektricita[e]ts-Geselleschaft (Berlin).  Local agent Alfred J. Bryn.,K77h,26390,1915 book,Transport Route counters for airplane,Norsk Patenter Registers,claims:  Hjelpekj?restel for flyvemaskiner karakterisert ved at skroget og vingerne ved sine bakre ender er avst?ttet bevegelig i forhold til hinanden paa en faelles support som er forbundet elastisk og leddet med hjulene resp. deres akser.   In English: ,Transportkj?restel for flyvemaskiner,,1,1914/11/14,1915/10/25,,,,,,,
1881,ru,"Mozhaiskii, Alexandr Fedorovich ",,103,applied 4 June 1880,Aeronautical Equipment,"Kelly, pp 66-77 esp p71",extended just to 1883 ; Kelly says this is the first Russian aero patent,Aeronautical equipment; a privilegia which seems to mean patent,,1,1880/06/04,1881,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1802,Fr,"GARNERIN Jeanne-Genevive veuve, ne LABROSSE, Paris (rue Plumet, faubourg Saint-Germain, Seine)/Paris (704, rue de Babylone, Seine)",Parachute,"


1BA185",,Parachute,http://bases-brevets19e.inpi.fr/index.asp?page=rechercheAvancee,,Parachute,,1,1802/10/11,1802/11/16,,,,,"06. MARINE ET NAVIGATION/06.4 AEROSTATION, AVIATION",,
,,,,,,,,,,,,,,,,,,,,
1817,Fr,"BRISON, Paris (9, boulevard du Temple, Seine)",Entertainment,1BA300,,Aerial Walkway construction process,Advanced Research page of INPI website,,procds mcaniques  l'aide desquels on tablit des promenades ariennes,,0,1817/01/22,1817/02/08,,,,,"20. ARTICLES DE PARIS ET INDUSTRIES DIVERSES/20.1 JEUX, JOUETS, THEATRES, COURSES",,
1817,Fr,"PILLET DE BEAUMONT (Pillet-Debeaumont), Paris (40, rue des Fosss-du-Temple, Seine)",infrastructure,1BA1028,,Aerial Walkway construction process,Advanced Research page of INPI website,,formation d'un tablissement dsign sous le nom de promenade arienne,,0?,"Pas de numro de dpt entre 1791 et 1844 (according to INPI), '1817/03/22 (according to SUBJECT-MATTER INDEX OF PATENTS FOR INVENTION      FRANCE  1791-1876 INCLUSIVE    T 271 .D 1883 Copy 1)",1817/03/22,,,,,"20. ARTICLES DE PARIS ET INDUSTRIES DIVERSES/20.1 JEUX, JOUETS, THEATRES, COURSES",,
,,,,,,,,,,,,,,,,,,,,
1818,Fr,"VERGER  Paris (9, boulevard du Temple, Seine)",LTA,1BA1180,,method of dirigible construction,http://bases-brevets19e.inpi.fr/index.asp?page=rechercheAvancee,,"procds de construction d'un arostat, nomm arostat-baleine",,1,1818/05/11,,,,,,5,,
,Fr,,,,,,,,,,,,,,,,,,,
1820,Fr,"PIERRE Thomas/BINET, Paris (124, rue du Faubourg-Poissonnire, Seine)",,1BA1143(1),,"hydraulic machine, aerial pump",Advanced Research page of INPI website,,"machine hydraulique, dite pompe arienne",,0,1820/05/22,1820/06/26,,,,,,,
,Fr,,,,,,,,,,,,,,,,,,,
1824,Fr,"LUZARCHE Louis/JUMEL Nicolas-Albert, Paris (4, rue de la Sorbonne, Seine)/Paris (17, rue Feydeau, Seine)  ","Propulsion, navigation",1BA1935,,"A machine regulating, and regularising, the flow of compressed air into a propulsion system.",Advanced Research page of INPI website,,"machine  air atmosphrique et  calorique, appele arocome, dirige par la main d'un homme ou par un rgulateur mcanique  ",,0?,#NAME?,1824/04/15,,,,,,,
,Fr,,,,,,,,,,,,,,,,,,,
1827,Fr,"POCOCK George, Bristol (Angleterre)","Kites, Navigation, Elevation, Communication",1BA2641,,"application of kites to navigation, elevation, signals, and the safety of shipwrecked persons",Advanced Research page of INPI website,,"application des cerfs-volants  la navigation,  traner des voitures,  l'lvation en l'air des poids, des signaux ou des personnes, enfin au sauvetage des naufrags",,1,1826/12/28,1827/02/02,,,,,"06. MARINE ET NAVIGATION/06.4 AEROSTATION, AVIATION",,
,Fr,,,,,,,,,,,,,,,,,,,
1827,Fr,"NIOGRET Guillaume, Paris (5, rue Saint-Paul, Seine)",Transportation,1BA2655,,"a flying boat-car, put in motion by men's arms . . .",Advanced Research page of INPI website,,"machine appele par l'auteur bateau-voiture arien, aquatique, terrestre, mis en mouvement  bras d'hommes, etc.",,0?,1827/11/30,1827/12/21,,,,,10. TRANSPORT SUR ROUTES/10.1 VOITURES,,
,Fr,,,,,,,,,,,,,,,,,,,
1832,Fr,"SAMSON-DUPERRON Franois-Louis Paris (100, rue du Bac, Seine) (incidentally listed under simply ?Duperron? in American Subject-Matter Index -1876)","Navigation, LTA",1BA3852,,"Means of Dirigible Navigation (Of note is the youth of this inventor, 23 years and 5 months, at the time of the French documentation of this invention.)",Advanced Research page of INPI website,,moyen de diriger les arostats,,1,1836/04/13,,,,,,"06. MARINE ET NAVIGATION/06.4 AEROSTATION, AVIATION",,
1837,Fr,ANDERVOLTI Lonardo Spilimbergo (Italie),"Navigation, LTA",1BA5738,,proper means of dirigible navigation,Advanced Research page of INPI website,,moyen propre  diriger les arostats,,1,1836/11/16,1837/09/13,,,,,"06. MARINE ET NAVIGATION/06.4 AEROSTATION, AVIATION",,
,Fr,,,,,,,,,,,,,,,,,,,
1834,Fr,"
GREGOIRE Gaspard, Aix (Bouches-du-Rhne)/Paris (47, rue de Charonne, htel Vaucanson, Seine)",LTA,1BA4367,,a balloon with the specialised function of determining sea depth,http://bases-brevets19e.inpi.fr/index.asp?page=rechercheAvancee,,"ballon nomm par l'auteur hydrostatique, et qui a pour but de dterminer la profondeur de la mer",,1?,1833/10/03,1834/02/03,,,,,,,
,Fr,,,,,,,,,,,,,,,,,,,
1835,Fr,"FERRAND Pierre ,


Paris (11, rue Neuve-Sainte-Catherine, Seine)",LTA,1BA5031,,new aerostat engine,Advanced Research page of INPI website,,nouveau moteur arien,,1,1834/11/04,1835/03/05,,,,,,,
,Fr,,,,,,,,,,,,,,,,,,,
1836,Fr,"ESPRIT Joseph, Lyon (3, rue Dore, Rhne)",spectacle,1BA5390,,"circular floating mountain, spectacle",Advanced Research page of INPI website,,montagne circulaire arienne,,0,1836/01/25,1836/07/13,,,,,"20. ARTICLES DE PARIS ET INDUSTRIES DIVERSES/20.1 JEUX, JOUETS, THEATRES, COURSES",,
1836,Fr,DEMONGEOT  Orges (Haute-Marne),"Navigation, LTA",1BA5429,,proper means of dirigible navigation,Advanced Research page of INPI website,,moyen propre  diriger les arostats,,1,1836/09/15,,,,,,"06. MARINE ET NAVIGATION/06.4 AEROSTATION, AVIATION",,
1836,Fr,DEMONGEOT  Orges (Haute-Marne),"navigation, balloon",,,balloon ?steering?,SUBJECT-MATTER INDEX OF PATENTS FOR INVENTION      FRANCE  1791-1876 INCLUSIVE    T 271 .D 1883 Copy 1,,,,1,1836/09/24,,,,,,,,
,Fr,,,,,,,,,,,,,,,,,,,
1837,Fr,DEMONGEOT  Orges (Haute-Marne),"Navigation, LTA",1BA5429(1),,proper means of dirigible navigation,Advanced Research page of INPI website,,moyen propre  diriger les arostats,,1,1837/01/18,1837/09/26,,,,,"06. MARINE ET NAVIGATION/06.4 AEROSTATION, AVIATION",,
1837,Fr,DEMONGEOT  Orges (Haute-Marne),"Navigation, LTA",1BA5429(2),,proper means of dirigible navigation,Advanced Research page of INPI website,,moyen propre  diriger les arostats,,1,1837/06/23,,,,,,,,
1837,Fr,ANDERVOLTI Lonardo Spilimbergo (Italie),"navigation, balloon",,,"Balloon ""steering""",SUBJECT-MATTER INDEX OF PATENTS FOR INVENTION      FRANCE  1791-1876 INCLUSIVE    T 271 .D 1883 Copy 1,,,,1,1837/09/13,,,,,,,,
1838,Fr,DEMONGEOT  Orges (Haute-Marne),"Navigation, LTA",1BA5429(3),,proper means of dirigible navigation,Advanced Research page of INPI website,,moyen propre  diriger les arostats,,1,1837/12/27,,,,,,,,
,Fr,,,,,,,,,,,,,,,,,,,
1838,Fr,"TOUBOULIC Pierre-Marie, Brest (Finistre)","LTA, propulsion, transportation",1BA6239,,dirigible,Advanced Research page of INPI website,,"systme de translation arienne, nomme par l'auteur Velociposte",,1,1838/06/28,1838/12/22,,,,,,,
1839,Fr,"TOUBOULIC Pierre-Marie, Paris (46, rue du Faubourg-Saint-Denis, Seine)","LTA, propulsion, transportation",1BA6239(1),,dirigible,Advanced Research page of INPI website,,"systme de translation arienne, nomme par l'auteur Velociposte",,1,1838/11/12,1839/04/29,,,,,,,
1838,Fr,"EULRIOT Etienne  Paris (16, rue des Bernardins, Seine)",LTA,1BA6992,,new dirigible,Advanced Research page of INPI website,,nouvel arostat,,1,1837/11/10,1838/09/07,,,,,"06. MARINE ET NAVIGATION/06.4 AEROSTATION, AVIATION",,
1839,Fr,"DE CASTRO Philippe-Ferdinand Paris (rue Gaillon, Htel de la Marine, Seine)","navigation, balloon",1BA7188,,machine facilitating dirigible navigation,Advanced Research page of INPI website,,machine propre  donner toute direction aux arostats,,1,1838/11/06,,,,,,,,
,Fr,,,,,,,,,,,,,,,,,,,
1839,Fr,"DE FRESNE Eugne-Louis-Jules Paris (14, rue d'Alger, Seine)","Navigation, propulsion, LTA",1BA7546,,atmospheric motor aiding in the direction and navigation of dirigibles,Advanced Research page of INPI website,,moteur atmosphrique propre  la direction des arostats et  la navigation,,1,1839/03/26,1839/09/19,,,,,"06. MARINE ET NAVIGATION/06.4 AEROSTATION, AVIATION",,
1839,Fr,"DE FRESNE Eugne-Louis-Jules Paris (14, rue d'Alger, Seine)","aviation, navigation, propulsion",1BA7546(1),,air-motor aiding in propulsion and navigation,Advanced Research page of INPI website,,moteur atmosphrique propre  la direction des arostats et  la navigation,,1,1839/09/23,1839/12/10,,,,,"06. MARINE ET NAVIGATION/06.4 AEROSTATION, AVIATION",,
1840,Fr,"DEMBINSKI HenriParis  (8, rue Roquepine, Seine)","navigation, balloon",1BA8288,,"process aiding in balloon navigation, and in service of the navigation needs of land and water crafts",Advanced Research page of INPI website,,"procd propre  donner aux ballons une direction invariable et conforme au besoin et  la volont, pour imprimer,  l'aide du ballon, le mouvement tant aux locomotives, bateaux  vapeur, qu'aux autres mouvements de rotation quelconque, etc.",,1,1839/10/09,1840/08/08,,,,,,,
1840,Fr,BARRATTE Joseph-Augustin  Lons-le-Saulnier (Jura),"LTA, aviation, navigation",1BA8381,,"Balloon, basket (or gondola), means of aerial navigation",Advanced Research page of INPI website,,"ballon, nacelle, moyens de les diriger dans les airs",,1,1839/10/14,,,,,,,,
,Fr,,,,,,,,,,,,,,,,,,,
1840,Fr,BORGNE Jean-Pierre  Les Crozes (Lozre),"Navigation, LTA",1BA8086,,Means of Dirigible Navigation,Advanced Research page of INPI website,,moyens de diriger les arostats,,1,1840/04/21,1840/10/22,,,,,,,
1840,Fr,"DEMBINSKI HenriParis  (8, rue Roquepine, Seine)","navigation, balloon",1BA8288(1),,"process aiding in balloon navigation, and in service of the navigation needs of land and water crafts",Advanced Research page of INPI website,,"procd propre  donner aux ballons une direction invariable et conforme au besoin et  la volont, pour imprimer,  l'aide du ballon, le mouvement tant aux locomotives, bateaux  vapeur, qu'aux autres mouvements de rotation quelconque, etc.",,1,1840/01/06,29.08.1840,,,,,,,
