Entity,Scope,Affiliate  of,Country,City,Address,Cable Address,Phone,Start Year,End Year,Sources [Reformatting Pending],"Notes 1:  Beginning, Purpose, Other Characteristics","Notes 2:  Patrons, Founders, Officers, Membership; Continuing and Other Notes",Notes 3:  Overflow Notes and Asides  ,Special to Peter
"Aero Club of Switzerland, Central Switzerland Section : Aero Club der Schweiz, Sektion Mittelschweiz",Regional (German-speaking Middle Switzerland),AeCS,Switzerland,Berne,Berne,0,0,1910 or earlier,1920 or later,1910 Annuario dell' Aeronautica Primo 333 (Sept. 1910); 1921 Brockett; Dir. 1920; National Union Catalog Pre-1956 Imprints; WorldCat.org and WorldCat-OCLC,"Based in Berne, the Section Mittelschweiz of the Aero Club of Switzerland served German-speaking Middle Switzerland.  The club published statutes and rules of procedure in 1910; a directory of members, 16 Apr. 1911; and regulations for free ballooning, 1912.","Yearly assemblies were held in the spring, including the years 1913-1916.  The Swiss National Exposition of 1914 was held in Berne and it appears that the Section Mittelschweize organized a festival there from 25-26 July.",,
"Aero Club of Switzerland, Romande Section : Aero Club der Schweiz, Sektion Romande : Aero Club Suisse, Section Romande ",Regional (French-speaking Switzerland),AeCS,Switzerland,Lausanne,"38 Avenue de Rumine, Lausanne (1920)",0,0,1910,"1933, name change","1910 Annuario dell' Aeronautica Primo 383 (Sept. 1910); 1921 Brockett; Dir1920; WorldCat.org and WorldCat-OCLC; www.lausanne.ch/view.asp?DocId=27617; 11 Encyclopdie Illustree Du Pays De Vaud (1984), snippet from Google Books;","Based in Lausanne, the Romande Section of the Aero Club Suisse (AeCS) served the Romande or French-speaking region of Switzerland.  The section was founded on 5 May 1910.  While active in its early years as a balloon club, in 1911 it was responsible for the first use of aeroplanes at what became the Blecherrette airfield and airport.  It appears that the club was quiet during World War I and then became active again.  In 1933, its name changed to Aero Club Suisse, Section Vaudoise, and under that name it observed its 30th anniversary in 1990.","14 members in 1910.  In 1913, it published a list of persons designated by lottery to take part in [balloon] ascensions.  Held its third general assembly in February 1913 and continued to hold annual general assemblies either in February or March through 1916.  It published its own official organ, En Plein Vol, from 1928-1933.  ",, 
"Aero Club of Switzerland, Zurich Section : Aero Club der Schweiz, Sektion Zurich ; East Switzerland Section, Association for Aerial Navigation : Aero Club der Schweiz, Sektion Ostschweizerischen Verein fur Luftschiffahrt : Ostschweizerischen Verein fur Lufftschiffahrt",Regional (German-speaking East Switzerland),AeCS,Switzerland,"Eastern Switzerland, Zurich",,,,1909 or earlier,1985 or later,1909 FAI Conference Statutaire Proces-Verbaux 27 (1910); 1910 Annuario dell' Aeronautica Primo 383 (Sept. 1910); WorldCat.org and WorldCat-OCLC,"The Zurich or Ostschweizerischen section of the Aero Club of Switzerland served German-speaking East Switzerland.  The club published statutes and rules of procedure in 1910.  It celebrated 75 years of existence in 1985 and in celebration of 90 years, held a three-day festival of flight, 16-18 June 2000, in the suburb of Dubendorf.","Membership directory published September 1913.  (The club is listed in 1920 Directory as Luftostschschweizerischer-verein, The L.O.V., which is a convention that we cannot find elsewhere.  It also could be what was referred to in 3 Buch des Fluges 139 (1912) as Flugsportklub in Zurich, which was a registered cooperative.",,
Aero Club of Terre Haute,Local,,USA,"Terre Haute, Indiana",,,,1912, ,10 Aeronautics 72 (1912),Appears to have been formed January 1912.,"Officers, 1912, included William McEthany,president; H. C. Pueschal, treasurer; Victor Tyler, secretary.",,
Aero Club of Texas, ,,USA,"San Antonio (?), Texas",,,,1908,,"1908 Chicago Daily Tribune, 21 June and 3 July; 1908 St. Louis Post Dispatch, 29 June and 4 July; 1908 WP, 5 July; 1908 Baltimore Sun, 5 July; 1908 Manchester Guardian, 7 July;","The existence of the Aero Club of Texas can be confirmed in newspaper articles as early as June, 1908.  A balloon representing the Aero Club of Texas competed in the Chicago to Atlantic Ocean balloon race (Chicago to Ocean Race), 3-6 July 1908, sponsored by the Aeronautique Club of Chicago. ","Dr. Frederick J. Fielding of San Antonio was club president at the time of the Chicago to Ocean Race.  Fielding, whose balloon Fielding-San Antonio was entered, had arrived in Chicago by 29 June 1908.  ",,
Aero Club of Texas,State,"ACA, 1919",USA,"Houston, Texas","no fixed address (1919, 1920)",0,0,1915,1920 or later,"1 Aerial Age Weekly 402 (1915); Goodyear 11 (1919); 8 Flying 549, 627, 781 (1919); 9 Flying 50 (1920); Dir1920","Organized July 1915 by businessmen of San Antonio and U.S. Army officers acting through the Chamber of Commerce.  The Chamber was acting at the suggestion of Major General Frederick Funston, Commander of the Southern Department, U.S. Army.  (It was unofficially announced as the policy of the Army to encourage civilian interest in aviation and to lend, wherever possible, practical assistance in the training of civilians.)  Use was expected of the aviation field at Fort Sam Houston, just outside of San Antonia, which, in a few months, was to become the center of the Army. Not on list of ACA affiliates in Flying, July 1919, but is on list in Flying, Aug. 1919.  ","Initial officers were: A. B. Weakley, president; Major General Frederick Funston, L. B. Clegg, and Gen. James Parker, vice presidents; Harold Kayton, secretary; and Richard Negley, treasurer.", ,
Aero Club of the Alps :     Aero Club des Alpes,Regional (South-East France),"AeCF, from at least 1910",France,"Grenoble, Isere","6 Rue Phyllis de la Charce (1910); 6 Place de la Halle, Grenoble (1910)",,14-77,1909 or earlier,,"1909 Motor Cyclopaedia YB 110 Misc; 1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910); 1911 Aero-Manuel 222, 438-439 (1 Oct. 1910)",,"Some 70 memnbers in 1910 including honorary members.  Officers, 1910, included:  le Marquis de Virieu, president; Leonce Blanchet and Collin-Dufresne, vice presidents; Pozzo di Borgo, general secretary; and Dieu-Aide, treasurer.  ",,
Aero Club of the Ardennes :   Aero Club of the Bulge :        Aero Club des Ardennes,Regional,"AeCF, from at least 1910",France,"Charleville, Ardennes","Buffet de Charleville, Ardennes (1910)",,,1909,,"1 Flight 67 (1909); 1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910); 1911 Aero-Manuel 222, 440 (1 Oct. 1910);","In January 1909, the founding members of the Aero Club of the Ardennes adopted with modifications as necessary the rules of the Aero Club of France.    ","At its formation, it was determined that members of the Automobile Club of Ardennes would become members also of the Aero Club of the Ardennes.  There appears to have been some 20 charter members.  Dr. Abd-el-Nour of Bazeilles was the first president; Werner of Charleville was secretary; and Senator Gobron was honorary president.",,
Aero Club of the Auberge : Aero Club de l'Auverge,Regional,,France,Clermont-Ferrand,,,,1909 or earlier,,1909 Motor Cyclopaedia YB 109 Misc,,,,
Aero Club of the Center :      Aero Club du Centre,Regional (North-Central France),,France,"Orleans, Loiret","Chambre de Commerce, 31 Place du Martroi, Orleans (1910)",,,1909,,"1 Flight 67 (1909); 17 L'Aerophile 116 (1909); 1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910);1911 Aero-Manuel 223, 442-444 (1Oct 1910)",The Aero Club du Centre or Aero Club of the Center [of France] had its initial meeting on 26 Jan. 1909 at Orleans and was fully formed on 6 Feb. 1909.,"At the organizing meeting of the Aero Club du Centre on 6 Feb. 1909, P. Caillet, president, L'Aero Club de France, and Loreau, president of the Commission Aerienne Mixte, were named honorary presidents.  Officers, 1909 and 1910 included Paul de Champvalliers, president, and R. Deschelleris, Paul Hamelle, Leinekugel, and Le Cocq, vice presidents.  Additionally, in 1909, H. Clayette and Leroy were secretaries and Ph. Croissandeau was treasurer; in 1910 Croissandeau was secretary  and E. Leplat was treasurer.  By October 1910, the club had some 150 members.    ",,
Aero Club of the East of France : Aero Club de l'Est de la France,Local,,France,"Nancy, Meurthe-et-Moselle","9 Rue Trouillet, Nancy",,,1910 or earlier,,"1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910); 1911 Aero-Manuel 223, 444-445 (1 Oct. 1910)",,"The club had some 80 members, 1910.  Officers includes:  Friant, president; Bellieni, vice president; Pierre Bachelard, secretary; and Renauld, treasurer.",,
Aero Club of the Massachusetts Institute of Technology (MIT) ,University,,USA,"Cambridge, Massachusetts",,,,1909,1918 or later,"1909 Christian Science Monitor, 13 Nov.; 1910 NYT 2 Jan.; WorldCat.org","The Aero Club of the Massachusetts Institute of Technology (MIT) was formed by students on 12 Nov. 1909.  Full use of all of the institute's laboratories for experimentation was soon available and aeronautics was to be added to the curriculum.  The Technology Monthly, Cambridge, Mass., was the official organ of the Aero Club of MIT from Vol. 4. No. 3 (1917) through Vol. 5 (1918). ","The club was sponsored by Prof. A. Lawrence Rotch of the Blue Hill Observatory and Albert A. Merrill, head of the aviation course at the Boston YMCA.  Initial officers elected included C. F. Cree, chairman, and John S. Selfridge, secretary-treasurer.  Some 600 members had enrolled by the end of the year, each of whom had pledged himself devote at least three hours' work a week to aeronautics. ",,
"Aero Club of the Netherlands : Nederlandsche Vereeniging Voor Luchtvaart;    apparently redesignated Royal Aero Club of the Netherlands: Koninklijke Nederlandsche Vereeniging voor Luchtvaart, ca. 1914.",National,"FAI, from 30 Sept. 1909","Holland, The Netherlands",La Haye (The Hague),"101 Riouwstraat, 's Gravenhague, La Haye (The Hague) (at least 1909-); 10 Nassau-Zuilensteinstraat, s'Gravenhauge, La Haye (The Hague) (at least 1911-1919); 13 Heerengracht, The Hague (1919 -);.","Aeroclub, The Hague, Holland (1920)",6354 (at least 1910-?); 6810 (at least 1919-),1907,Still exists,"1909 FAI Conference Statutaire Proces-Verbaux 12 (1910); FAI Conference Statutaire Proces-Verbaux (1910, 1912); FAI Conference Extraordinaire, 19-21 May 1919; Sommaire, FAI Reunion, 23-24 Oct 1919, in 1:1Bulletin Officiel de la FAI (Jan. 1920); 1:1 Bulletin Officiel de la FAI (Jan. 1920); ACA annuals (1910-1917, 1919); 1913 Aviation P-B 159 (Jan. 1913); 1918 Aviation P-B 274; 1919-1920 Aviation P-B 385 (1919); National Union Catalog Pre-1956 Imprints; LOC OPAC; WorldCat.org and WorldCat-OCLC; Dir1920; http://www.knvvl.nl/knvvl_en; ","The Nederlandsche Vereeninging Voor Luchtvaart appears to have begun 19 Oct. 1907 given the title of a commemorative book, Gedenkboek van de Nederlandsche vereeniging Voor Luchtvaart 1907-19 Oct. - 1912, held at the Library of Congress.  [Need to see book.]  The organization was admitted to the Federation Aeronautique Internationale (FAI) at the FAI's meeting 30 Sept. 1909.  The club's organ, De Luchtvaart; gei?llustreerd tijdschrift voor luchtvaart en aanverwante vakken (""Aviation; illustrated magazine for aviation and related subjects,"" according to Google translate) was published 1909 through 1913.  Concerning the use of the word Koninklije or Royal in the name, searches in Google Books show this prefix used as early as 1914 but seemingly not before then.  ","Concerning whether Nederlandsche Vereeninging Voor Luchtvaart translates as the Aero Club of the Netherlands or the Dutch Aeronautical Society, the National Union Catalog Pre-1956 Imprints translates it as Aero Club of the Netherlands and lists all publications, whether with or wiithout the prefix Koninklije, under Nederlandse Vereniging voor Luchtvaart.  Het Vliegveld, the offical organ, published as a monthly, 1917-1919; biweekly, 1920-1921; monthly, 1922-Jan. 1935; and since Feb. 1935 as a weekly. ",NEEDS MORE RESEARCH,"Not sure whether to establish rule of making two entries, one without and one with Royal, or whether to make one entry for such clubs.  On this one, I still hae more research to do and there isn't enough history to require a second listing.  "
Aero Club of the North : Aero Club du Nord,Local,"AeCF, from at least early 1908",France,Roubaix,"4 Rue de la Gare, Roubaix (at least 1907-1909); 11 Contour Saint-Martin, Roubaix, France (at least 1910-1920)",0,0,1907,1920 or later,"1:5 Aeronautics 44 (1907); 1:6 Aeronautics 37 (1907); 2:3 Aeronautics 37 (1908); 1909 Motor Cyclopaedia YB 110 Misc.; 1910 Annuario dell' Aeronautica Primo 375 (Sept. 1910);1911 Aero-Manuel 223, 472-473 (1 Oct. 1910); 1921 Brockett; WorldCat.org and WorldCat-OCLC; Dir1920","Published Nord Touriste, Bulletin Officiel Mensuel with Nord Tourise and the Automobile Club du Nord. While this bulletin was published 1903-1924, the first inclusion of information from the Aero Club du Nord has not yet been determined.  The fact of joint publication suggests that the Aero Club du Nord was an offshoot of the Automobile Club du Nord.  ","Balloon ascensions in 1909.  Some 65 members, 1910.  Officers, 1910, included:  E. Boulanger, president; A. Delanoe, vice president; A. Damez, secretary; and A. Lepers, treasurer.  Lieutenant-Colonel Hirschauer was honorary president.  The club held its sixth annual general meeting in early 1913, thus placing its first annual general meeting in early 1908 and, likely, a few months after a 1907 founding.     ",MORE RESEARCH NEEDED.  The publication is online but am having trouble with the search.  ,
Aero Club of the Northwest,Regional,"ACA, from at least 1916",USA,"Seattle, Washington","1000 or 1100 Hoge Building, Seattle (1916-1920)",0,0,1916 or earlier,1920 or later,"1916 Aircraft (1 Feb.); 5 Flying 250 (1916); 6 Flying 498 (1917); 8 Flying 549 (1919); 9 Flying 50 (1920); ACA annuals (1916-1917, 1919); Goodyear 11 (1919); Dir1920",The Aero Club of the Northwest in Seattle affilliated with the Aero Club of Ametrica no later than January 1916.,"Initial officers included William E. Boeing, president; Capt. Robert E. Coontz. Mrs. Harry Whitney Treat, and Presscott Oakes, vice presidents; G. C. Westervelt, secretary; and Edgar N. Gott, treasurer.  Membership at the time of the affiliation with the ACA included 4 honorary, 14 resident, and five from the U.S. Army and Navy. ",,
Aero Club of the Northwest,Local,,USA,"St. Paul, Minnesota",,,,1908 or earlier,,"1908 Chicago Daily Tribune, 1 March, 21 June, and 3 July; 1908 St. Louis Post Dispatch, 29 June and 4 July; 1908 WP, 5 July; 1908 Baltimore Sun, 5 July; 1908 Manchester Guardian, 7 July;","Two balloons representing the Aero Club of the Northwest competed in the Chicago to Atlantic Ocean balloon race (Chicago to Ocean Race), 3-6 July 1908, sponsored by the Aeronautique Club of Chicago.  W. G. Carling, the club's president, had traveled to Quincy, Ill., in late February 1908 to order the club's balloons.  This suggests the club's founding no later than February 1908 and a possible founding in 1907.   ","W. G. Carling was president, 1908.",,
Aero Club of the Philippines,Sub-National (Territory),"ACA, from at least 1919",US Philippine Islands,"Manila, Philippine Islands",no fixed address (1919-1920),0,0,1919 or earlier,1920 or later,ACA annual (1919); 8 Flying 549 (1919); 9 Flying 50 (1920); Goodyear 11 (1919); Dir1920; ,,,1918 ACA Annual was not available and Flying from 1918 is not online so we still need to look for information from 1918.,"IF 1919, IS THIS TOO LATE FOR THE TABLE"
Aero Club of the Pyrenees : Aero Club des Pyrenees,Regional,"AeCF, from at least 1910",France,"Toulouse, Haute Garronnes","81 Boulevard Carnot, Toulouse (1910)",,,1909 or earlier,,1909 Motor Cyclopaeida YB 110 Misc;  1910 Annuario dell' Aeronautica Primo 375 (Sept. 1910);  1911 Aero-Manuel 224 (1 Oct. 1910),,,,
Aero Club of the Sarthe : Aero Club de la Sarthe,Local,"AeCF, from at least 1910",France,"Le Mans, Sarthe","7 Boulevard Rene-Levasseur, Le Mans (1910)",,301,1908,1939 or later,"1909 Motor Cyclopaedia YB 110 Misc.; 1910 Brockett; 1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910); 1911 Aero-Manuel 224, 479 (1 Oct. 1910); LOC OPAC; WorldCat.org and WorldCat-OCLC; ","The Aero Club de la Sarthe was founded in 1908 at le Mans, Sarthe, France.  It presented the ""Muse of Aviation,"" a bronze art object designed by Louis Carvin, to Wilbur Wright at Le Mans, 1909 May 1.","Officers, 1910, included Leon Bollee, president; P. Jamin  and R. Pellier, vice presidents; G. Durand, general secretary; and Landry, treasurer.  Including officers, the membership was eight.",,
Aero Club of the South-West : Aero Club du Sud-Ouest,Regional and Local,"AeCF, from 5 Apr. 1905",France,"Bordeaux, Gironde","1 Rue Franklin, Bordeaux (apparently 1909);  2 Place de la Comedie, Bordeaux (at least 1909-1920)",0,22-92 (1910),1905,1920 or later,"P-B of Aeronautics 441 (English ed., Jan. 1907); 2:2 Aeronautics 37 (1908); 1909 Motor Cyclopaedia YB 109 Misc.; 1910 Brockett; 1910 Annuario dell' Aeronautica Primo 373 (Sept. 1910); 1911 Aero-Manuel 224, 479 (1 Oct. 1910); Dir1920; WorldCat.org and WorldCat-OCLC","The Aero Club du Sud-Ouest was formed in Bordeaux, 1 Apr. 1905, and affiliated with the Aero Club de France, 5 Apr.1905.  A section of the club was formed at Pau (which see), 2 Dec. 1905.   ","Membership (apparently in Bordeaux) in May 1906 totaled 175, including 10 conductors.  Officers in 1910 included C. F. Baudry, president; Laurent Sens, vice president; Vice Count Charles de Vidal de Lirac, general secretary; and Fernand Panajou, treasurer.  Cosponsored with Aero Club de France, the Grande Semaine d'Aviation de Bordeaux, 11-18 Sept. 1910. ",,
"Aero Club of the South-West, Pau Section : Aero Club du Sud-Ouest, Pau Section",Local,AeCF,France,Pau, ,0,0,1905,1920 or later,"P-B of Aeronautics 441 (English ed., Jan. 1907);1910 Brockett; Dir1920","The Aero Club of the Southwest, Aero Club du Sud-Ouest, was formed in Bordeaux (which see), 1 Apr. 1905 and affiliated with the Aero Club de France 5 Apr. 1905.  The section of the club at Pau was formed  2 Dec. 1905.",It appears that the section at Pau was formed with 21 members.,,Need date affiliated AeCF
Aero Club of the Thousand Islands,Local,,USA,"Frontenac, Thousand Islands, New York",,,,1909,,"1910 NYT, 13 and 15 Jan., 24 Apr., 12 June, and 22 July; 1910 St. Louis Post Dispatch, 15 Jan.; ","The Aero Club of the Thousand Islands, as it was known formally by April 1910, was a division of the Thousand Islands Yacht Club, headquartered in New York City, whose yachting facilities were on the St. Lawrence River at Frontenac, Thousand Islands, New York.  The Yacht Club members included some 30 who were also members of the Aero Club of America and it appears that at least some 20 of those were the nucleus af an aero club within the yacht club.  While we can locate a reference in the New York Times of 13 Jan. 1910 to the 20 members forming an aero club, it appears that aero club activities were already underway in the summer of 1909 when yacht club members built a flying machine behind St. Lawrence Park.  More building was supposed to take place in the summer of 1910.      ","Dr. J. Miles Gibbons is credited with forming an aero Club of the St. Lawrence River in the summer of 1909.  We believe that this was the division of the Thousand Islands Yacht Club that became formally known as the Areo Club of the Thousand  Islands by April 1910.  At the annual mid-winter dinner of the Thousand Islands Yacht Club on 14 Jan. 1910, a syndicate within the club exhibited an aeroplane, yet without its motor, that they had commissioned an unidentified German aviator to build.  Members of the syndicate, identified at various times in 1910, included Dr. Gibbons and Alfred G. Miles, both of New York City; L. N. Rumsey of St. Louis;  C. L. Hayden of Columbus, Ohio; Frederick K. Burnham, address not identified; and Price McKenney, Morrisburg, Ontario.   It appears that this was the aeroplane designed by Dr. Gibbons that, when shown at Garden City in April 1910, had evolved  into a large biplane with a 4-cylinder, 2-cycle, 40-h.p. Lloyd engine.   ",,
Aero Club of the Tuileries : Aero Club des Tuileries,Local,,France,Paris,"6 Rue de 29 Jullet, Paris",,,1910 or earlier,,1910 Annuario dell' Aeronautica Primo 372 (Sept. 1910),,,,
"Aero Club of the United Kingdom (for continuation, see Royal Aero Club of the United Kingdom)  ",National,"FAI, founding member, 14 Oct. 1905","England, GB, UK","London, England","Premises of the Royal Automobile Club, 119 Piccadilly, London, W. (at least 1906-1907); 166 Piccadilly, London, S.W. (1907-1910)","Aeroplane, London (1906); Aerodom-London (or Aerodrome-London) (at least 1910-1920);",2140 Gerrard (? Need to verify date); 1643 Mayfair (at least 1910- ); ,1901,Still exists under name of 1910.,"Conference Internationale d'Aeronautique Proces-Verbaux, 12-14 Oct 1905; FAI Conference Statutaire Proces-Verbaux (1906-1910); P-B of Aeronautics 441 (English ed., Jan. 1907); 1:5 Aeronautics 43 (1907); 1:6 Aeronautics 38 (1907); 1908 Intl Motor Cyclopaedia YB 14, Geog. Trade Dir. 203;  1 Flight 55, 67, 147 (1909): www.royalaeroclub.org; www.royalaeroclub.org/history.htm; emails from the Club, July 2010; ACA annuals (1907-1910); ""Flight"" Manual 13 (1910); National Union Catalog Pre-1956 Imprints; Gollin, The Impact of Air Power on the British People and Their Government, 1908-1914, p. 8 (1989);","The official date of the founding of the Aero Club of the United Kingdom is given as 29 Oct. 1901.  At a general meeting of candidates for membership, held at the Automobile Club of Great Britain and Ireland (4 Whitehall Court, Loindon S.W.) 3 Dec. 1901, those present adopted as the purpose of the club ""the encouragement of ballooning as a sport and of aerial locomotion in all its forms and application.""  The first issue of the Gazette dates from that meeting.  From 1905, ithe club ssued Aeronauts' Certificates for balloonists.  The club was one of the eight national organizations that met in Paris 12-14 Oct. 1905 to put together the Federation Aeronautique Internationale (FAI).  Pursuant to agreement in 1909 with the Aeronautical Society of Great Britain and the Aerial League of the British Empire, the Aero Club of the United Kingdom would serve as the paramount body in all matters of sport and the development of the art of aeronautics in the United Kingdom.  The name was changed to the Royal Aero Club of the United Kingdom, 15 Feb. 1910, which see.  ","Said to be the idea of Frank Hedges Butler, his daughter Vera, and the Hon. Charles Rolls after they took a ballon flight with Stanley Spencer in 1901.  Both men and women were admitted as members.  Membership in 1906 was 170.  While the club did not possess balloon stores of its own, several of its members owned balloons.  The weekly magazine Flight, later Flight International (need date), began publication 2 Jan. 1909 as the club's official organ and is still published today.   From 19-27 Jan. 1909, the first aero exhibition in England was held in Olympia by the Society of Motor Manufacturers under the auspices of the Aero Club.  The Aero Club League, which see, was founded by the club no later than January 1909 and was open to non-members.       ","There is an Aero Club, London, that published a Register of Members, 1902-1912.  [This is probably the same organization, but need more research]",Still need to come up with consistent formatting for continuation and predecessor clubs
Aero Club of the University of Chicago ,Univesrsity,,USA,"Chicago, Illinois",,,,1910,,"1910 Chicago Daily Tribune, 14 & 21 Apr.; 1910 NYT, 23 June","In April 1910, after failing to find a benefactor to buy it a French monoplane that it hoped to exhibit in the summer at county fairs, students in the Aero Club of the University of Chicago decided that they would build their own glider and raise funds to buy a model..",20 members in June 1910.,,
Aero Club of the University of Kiev,University,,Russia,Kiev,,,,1910 or earlier,,1910 Annuario dell' Aeronautica Primo 381 (Sept. 1910); ,,,,
Aero Club of the University of Pennsylvania,University, ,USA,Pennsylvania,,,,1910 or earlier,,"1910 WP, 30 Jan.; 1910 NYT, 23 June","In January 1910 members of the University of Pennsylvania Aero Club were building an aeroplane, using a subscription they collected to defray expenses.",65 members in June 1910.,,
Aero Club of the University of Virginia ,University, ,USA,"Charlottesville, Virginia",,,,1909,,"1909 WP, 11 Oct.; 1910 NYT, 23 June","The Aero Club of the University of Virginia was organized 10 Oct. 1909 for the advancement of the science of aeronautics.  It was a founding member of the American Intercollegiate Association of Aero Clubs, 30 Apr. 1910.  ","Officers elected in October 1909 included J. Rogers McConnell, president; Matt H. Murphy, vice president; Stanford Gwin, secretary; and C. H. Sutton, Jr., treasurer; and John Heath, consulting engineer.  30 members in June 1910.  ",,
Aero Club of the West :     Aero Club de l'Ouest,Local,"AeCF, 1909",France,"Angers, Maine-et-Loire","6 Place du Ralliement, Angers (1910)",,,1907,,"1 Flight 39 (1909); 1909 Motor Cyclopaedia YB 109 Misc.; 1910 Annuario dell' Aeronautica Primo 373 (Sept. 1910); 1911 Aero-Manuel 223, 474-475","The Aero Club de l'Ouest or Aero Club of the West was founded at Angers, France, on 1 May 1907.  It was accepted as an affiliate of the Aero Club of France in January 1909.","Some 80 members plus half-again as many honorary members, 1910.  That year, Rene Gasnier was honorary president and officers included M. de Fracy, president; M. Giffard, and L. Cointreau, vice presidents; J. Bessonneau, general secretary; and P. Laurenceau, treasurer.  ",,
Aero Club of Uruguay :     Aero Club del Uruguay,National,,Uruguay,Montevideo,Montevideo,0,0,1913,still exists,"http://www.aeroclubdeluruguay.edu.uy/informacion/index.php?ClassId=37; http://www.aeroclubdeluruguay.edu.uy/quienes/index.php; Sommaire, FAI Reunion, 23-24 Oct 1919, in 1:1 Bulletin Officiel de la FAI (Jan. 1920); Dir1920","The website of the Aero Club del Uruguay or Aero Club of Uruguay indicates two different dates of founding in the year 1913.  According to one webpage, it was founded 22 Jan. 1913 and still exists today to assist pilots in meeting the technical requirements of certification authorities, including achieving English language profiency.  According to another webpage, it was founded as a civil, nonprofit association in February 1913 by distinguished Uruguayan citizens for the purpose of promoting the practice, teaching, and dissemination of powered flight and related techniques among its members for sport as well as for the development of aviation.  It still exists today as a non-profit institution, ensuring that its members have access to adequate and safe aircraft for instruction and training and that such instruction and training include the latest in technical improvements for the proper performance of aviation activity.   ",," It is not clear whether the Aero Club del Uruguay was ever an FAI member.  In October 1919, the Centro nacional de Aviation del Uruguay was the FAI member.  ",
Aero Club of Utah,State,,USA,,,,,1909,,"5 Aeronautics 238 (1909); 6 Aeronautics 33 (1910); 1910 NYT, 3 & 23 June;","The Aero Club of Utah was formed during October 1909 and adopted the Aero Club of American constitution and bylaws with some changes.  Research was to be conducted chiefly along the lines of heavier-than-air machines and the club hoped to have a large machine in the air in the summer of 1910, but in addition, club members were interested in dirgibles.  The club was incorporated by the end of the year.  The club appears not to have affiliated with the Aero Club of America. ","Initial officets were Dr. A. Brodbeck, president; Iver Redmond, S. S. Gilson, and Arthur Jennings, vice presidents; L. R. Culver, treasurer; and F. A. Ayres.  The initial meeting was at the home of Wilton Powell who was named chair of the membership committee.  10 members reported in June 1910.",,
Aero Club of Vermont (1),State,,USA,"Rutland, Vermont",,,,1909,,5 Aeronautics108 (1909),"Located in Rutland, Vermont, what appears to have been the first Aero Club of Vermont was in its infancy ca. August 1909."," Initial officers included Chales T. Fairfield, publisher of the Rutland News, president, and George S. Haley, secretary.  ",,
Aero Club of Vermont (2),State,,USA,"Burlington, Vermont",,,,1916,,LOC OPAC; WorldCat.org and WorldCat-OCLC,"What appears to have been the second so-called Aero Club of Vermont was organized 6 July 1916 in Burlington, Vermont.  ",Yearbook began publication in 1916.,,
Aero Club of Vichy :          Aero Club de Vichy,Local,"AeCF, from at least 1910",France,"Vichy, Allier","11 Rue de Parc, Vichy (1910)",,,1909 or earlier ,,17 L'Aerophile 116 (1909);  1910 Annuario dell' Aeronautica Primo 375 (Sept. 1910);  1911 Aero-Manuel 224 (1 Oct. 1910),The Aero Club de Vichy or Aero Club of Vichy was founded prior to March 1909.,"The club was founded on the initiative of Pierre Roger-Jourdain, who was then a member of the Aero Club de France.  At founding, it had some 80 members.  Noguier was vice president.  The club planned to open an aerodrome in May 1909.  ",,
Aero Club of Virginia, University,,USA,,University of Virginia,,,1909,,http://www2.lib.virginia.edu/exhibits/mcconnell/images/CC1910_6.jpg; http://www2.lib.virginia.edu/exhibits/mcconnell/intro.html; http://search.lib.virginia.edu/catalog/u4855872 ,"Founded September 1909 for the advancement of aeronautics.  Although the club did not have the finances to carry on any extensive experiemnts, its consilting eingineer John Heath was constructing a small biplane glider in the mechanical laboratory which he planned to try out, using as a starting place the top of the grandstand on the university's Lambeth Field.    ","James Rogers McConnell of New York was a founder and first president.  The club had 11 student members, 8 faculty members, and 5 members outside the University, 1910.",,
Aero Club of Vosges :           Aero Club des Vosges,,"AeCF, from at least 1910",France,"Saint Die, Vosges","Grand Hotel, Rue Thiers, Saint Die",,,1910 or earlier,, 1910 Annuario dell' Aeronautica Primo 375 (Sept. 1910); 1911 Aero-Manuel 224 (1 Oct. 1910),,,,
